No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
11,संज्ञा शब्दों से बने विशेषण के संदर्भ में असंगत है -,(अ) समुदाय - सामुदायिक,(ब) काल - कालिक,(स) दान - दानी,(द) बालक - बालिका,4,"बालक (संज्ञा) - बाल्य (विशेषण), इससे बालकीय भी बनता है।"
12,विशेषण की किस अवस्था में संज्ञा या सर्वनामों के मध्य तुलना का भाव नहीं होता-,(अ) मूलावस्था,(ब) उत्तमावस्था,(स) उत्तरावस्था,(द) कोई नहीं,1,"विशेषण की मूलावस्था में संज्ञा या सर्वनामों के मध्य तुलना का भाव नहीं होता है। इस अवस्था में किसी संज्ञा अथवा सर्वनाम की अन्य संज्ञा अथवा सर्वनाम के साथ तुलना नहीं होती है, केवल एक व्यक्ति की विशेषता बताई जाती है। यथा - उसकी वाणी मधुर है। मेरे पिता अच्छे हैं।"
13,चार लीटर दूध लाओ। वाक्य में प्रयुक्त विशेषण है-,(अ) निश्चित संख्यावाचक,(ब) निश्चित परिमाणवाचक,(स) अनिश्चित परिमाणवाचक,(द) अनिश्चित संख्यावाचक,2,चार लीटर दूध लाओ। -- निश्चित परिमाणवाचक।
14,विशेष्य (संज्ञा) शब्दों से बने विशेषण के संदर्भ में असंगत है-,"(अ) भोजन - भोज्य, मथुरा - माथुर","(ब) राज - राजकीय, लज्जा - लज्जालु","(स) राह - रास्ता, विद्या - विद्यार्थी","(द) संदेह - संदिग्ध, सिंधु - सैंधव",3,राह (संज्ञा) - राही (विशेषण)। विद्या (संज्ञा) - विद्यावान (विशेषण)।
15,विशेष्य (संज्ञा) शब्दों से बने विशेषण के संदर्भ में असंगत है-,"(अ) विस्मय - विस्मित, पीड़ा - पीड़ित","(ब) रंग - रंगी, दोष - निर्दोष","(स) धर्म - धार्मिक, गुलाब - गुलाबी","(द) धन - धनवान, चमक - चमकीला",2,रंग (संज्ञा) - रंगीन (विशेषण)। दोष (संज्ञा) - दोषी (विशेषण)।
16,किस वाक्य में 'कुछ' का प्रयोग विशेषण के रूप में हुआ है -,(अ) कुछ मिठाई लाओ।,(ब) वह कुछ खा रहा है।,(स) मोहन कुछ मुस्कुराया।,(द) माता ने कुछ पकाया।,1,कुछ मिठाई लाओ। - 'कुछ' अनिश्चित परिमाणवाचक विशेषण है। अन्य विकल्पों में 'कुछ' शब्द क्रिया के बारे में बता रहा है; इसलिए क्रियाविशेषण होगा।
17,किस विकल्प में सार्वनामिक विशेषण का प्रयोग नहीं हुआ है-,(अ) वे लोग वहाँ क्या कर रहे हैं?,(ब) यह पेड़ बहुत पुराना है।,(स) इन किताबों को सहेजकर रखिए।,(द) भाई ने यह भेज दिया है।,4,"विकल्प 1, 2 व 3 में सार्वनामिक विशेषण का प्रयोग हुआ है - वे लोग, यह पेड़, इन किताबों में प्रयुक्त सर्वनाम संकेतवाचक या सार्वनामिक विशेषण की तरह प्रयुक्त है।"
18,इनमें से किस विकल्प के सभी शब्द संज्ञा से निर्मित विशेषण हैं-,"(अ) आलसी, पैतृक, लिखित","(ब) श्रमिक, भीतरी, पढ़ाकू","(स) पौराणिक, मानवीय, लखनवी","(द) वैवाहिक, बनावट, विदेशी",3,पौराणिक = पुराण + इक। मानवीय = मानव + ईय। लखनवी = लखनऊ + ई। सभी संज्ञा से बने विशेषण हैं।
19,किस विकल्प के सभी विशेषण शब्द संज्ञा शब्दों से निर्मित हैं-,"(अ) बनावटी, कण्ठोष्ठ","(ब) यज्ञशील, स्थलमय","(स) ऐसा, शक्तिशाली","(द) मतिमती, भगोड़ा",2,"यज्ञ (संज्ञा) - यज्ञशील (विशेषण)। स्थल (संज्ञा) - स्थलमय (विशेषण)। विकल्प अ में कण्ठोष्ठ (संज्ञा) - कण्ठोष्ठीय (विशेषण), बनावट (संज्ञा) - बनावटी (विशेषण)। विकल्प स में यह (सर्वनाम) - ऐसा (विशेषण), शक्ति (संज्ञा) - शक्तिशाली (विशेषण)। विकल्प द में भागना (क्रिया) - भगौड़ा (विशेषण), मति (संज्ञा) - मतिमती (विशेषण)।"
20,गुणवाचक विशेषण से संबंधित वाक्य कौन-सा है-,(अ) वह लड़का तेज दौड़ता है।,(ब) दोनों लड़के पढ़ने में अच्छे हैं।,(स) लड़कियाँ अच्छी हैं।,(द) किसी को बुलाओ।,3,दोनों लड़के पढ़ने में अच्छे हैं - समुदायवाचक विशेषण। किसी को बुलाओ - अनिश्चयवाचक सर्वनाम। लड़कियाँ अच्छी हैं - गुणवाचक विशेषण। वह लड़का तेज़ दौड़ता है - सार्वनामिक विशेषण।
21,किस विकल्प के सभी शब्द गुणवाचक विशेषण हैं-,"(अ) चरपरा, तिक्त, चौकोर","(ब) दुष्ट, स्निग्ध, कुछ","(स) पालतू, पचीसी, शतक","(द) सूखा, उद्यमी, सब",1,"चरपरा, तिक्त, चौकोर गुणवाचक विशेषण हैं। कुछ, सब - अनिश्चित संख्यावाचक तथा अनिश्चित परिमाणवाचक विशेषण होते हैं। दुष्ट, स्निग्ध, पालतू, सूखा, उद्यमी - गुणवाचक विशेषण हैं। पचीसी, शतक - संख्यावाचक विशेषण हैं।"
22,किस विकल्प के सभी शब्द परिमाणवाचक विशेषण के हैं-,"(अ) लीटर, लाख, करोड़","(ब) ढाई, पाव, द्वादशी","(स) सवा, बहुतेरे, सब","(द) किञ्चित्‌, बहुत, अधिक",4,"किञ्चित्‌, बहुत, अधिक, पाव, लीटर, बहुतेरे, सब - परिमाणवाचक विशेषण हैं। लाख, करोड़, ढाई, सवा, द्वादशी - संख्यावाचक विशेषण हैं।"
23,विशेषण की उत्तमावस्था का प्रयोग किस वाक्य में किया गया है -,(अ) वह उससे अच्छा है।,(ब) अध्यापक दयालु हैं।,(स) कवियों में कालिदास श्रेष्ठ हैं।,(द) एकता चालाक है।,3,कवियों में कालिदास श्रेष्ठ हैं - उत्तमावस्था। वह उससे अच्छा है - उत्तरावस्था। अध्यापक दयालु हैं - मूलावस्था। एकता चालाक है - मूलावस्था।
24,किस वाक्य में 'कोई' का प्रयोग सार्वनामिक विशेषण के रूप में हुआ है -,(अ) मंदिर में कोई नाच रहा है।,(ब) रास्ते में कोई हँस रहा था।,(स) कोई घोड़ा खेत में घास चर रहा था।,(द) धनवान होने से कोई बड़ा नहीं हो सकता।,3,"विकल्प (स) में 'कोई' शब्द 'घोड़ा' संज्ञा के साथ प्रयुक्त हुआ है, अतः सार्वनामिक विशेषण है। अन्य विकल्पों में 'कोई' अनिश्चयवाचक सर्वनाम के रूप में प्रयुक्त हुआ है।"
25,किस वाक्य में सार्वनामिक विशेषण प्रयुक्त हुआ है-,(अ) जो जा रहा है वह मेरा मित्र है।,(ब) कोई खा रहा है।,(स) जो व्यक्ति गा रहा है वह मेरा भाई है।,(द) धक्का-मुक्की में कई लड़के घायल हो गए।,3,जो जा रहा है वह मेरा मित्र है। - संबंधवाचक सर्वनाम। कोई खा रहा है। - अनिश्चयवाचक सर्वनाम। धक्का-मुक्की में कई लड़के घायल हो गए। - अनिश्चित संख्यावाचक विशेषण।
26,किस विकल्प में गुणवाचक विशेषण से असंबंधित एक शब्द है-,"(अ) शिष्ट, ताजा, सामाजिक, बुरा","(ब) क्षणभंगुर, चितकबरा, नया, पीला","(स) अंधा, गीला, अमीर, मोटा","(द) समझदार, आधा, स्वस्थ, सूखा",4,विकल्प में प्रयुक्त 'आधा' परिमाणवाचक विशेषण का उदाहरण है; यथा - आधा लीटर दूध। आधा गिलास पानी दो।
27,"निम्नलिखित में से संज्ञा शब्दों से बने विशेषण कौन-से हैं? कूट की सहायता से उत्तर दीजिए-
1. उपकार  2. बौद्धिक  3. क्रोधी  4. कत्था  5. कामुक
कूट-","(अ) केवल 1, 2, 4","(ब) केवल 1, 2, 3, 4","(स) केवल 1, 2, 3, 5","(द) केवल 2, 3, 5",4,विकल्प (अ) - उपकार (विशेष्य) - जिससे उपकारी विशेषण बनता है। विकल्प (ब) - बुद्धि (संज्ञा) - बौद्धिक। विकल्प (स) - क्रोध (भाववाचक संज्ञा) + ई प्रत्यय से निर्मित विशेषण - क्रोधी। विकल्प (द) - कत्था (संज्ञा) - कत्थई। विकल्प (5) - काम (भाववाचक संज्ञा) में प्रत्यय लगकर बना विशेषण 'कामुक'।
28,किस विकल्प में निश्चित परिमाणवाचक विशेषण का प्रयोग हुआ है-,(अ) यह कपड़ा गीला है।,(ब) दुकानदार ने चार केले दिए।,(स) मुकेश तीन रोटियाँ खाता है।,(द) श्याम पाँच लीटर दूध पीता है।,4,विकल्प अ - 'गीला' गुणवाचक विशेषण है। विकल्प ब - 'चार केले' में 'चार' निश्चित संख्यावाची विशेषण है। विकल्प स - 'तीन रोटियाँ' में 'तीन' निश्चित संख्यावाची विशेषण है। विकल्प द - 'पाँच लीटर' निश्चित परिमाणवाचक विशेषण है।
29,एक आदमी लाल टमाटर खरीदने बाज़ार गया; लेकिन लालची दुकानदार ने महँगे दाम बताए। उक्त वाक्य में विशेषणों की संख्या कितनी है-,(अ) एक,(ब) तीन,(स) चार,(द) छह,3,उपर्युक्त वाक्य में चार विशेषणयुक्त पद हैं। पहला - एक आदमी। (एक - संख्यावाची विशेषण - 'आदमी' के लिए प्रयुक्त)। दूसरा - लाल टमाटर। (लाल - गुणवाचक विशेषण - 'टमाटर' के लिए प्रयुक्त)। तीसरा - लालची दुकानदार। (लालची - गुणवाचक विशेषण - 'दुकानदार' के लिए प्रयुक्त)। चौथा - महँगा दाम। (महँगा - गुणवाचक विशेषण - 'दाम' के लिए प्रयुक्त)।
30,विशेषण की उत्तरावस्था का प्रयोग किस वाक्य में हुआ है-,(अ) सुरेश कक्षा में होशियार लड़का है।,"(ब) श्याम, राम से बड़ा है।",(स) अमिताभ श्रेष्ठ अभिनेता है।,(द) रोहन सबसे अच्छा विद्यार्थी है।,2,"जब दो व्यक्तियों या वस्तुओं के बीच अधिकता या न्यूनता की तुलना होती है तब उसे विशेषण की उत्तरावस्था कहते हैं। यथा - श्याम, राम से बड़ा है। मुकेश, दिनेश से लंबा है।"
31,निम्नलिखित में से किस वाक्य में परिमाणवाचक विशेषण का प्रयोग नहीं हुआ है -,(अ) इससे कुछ लाभ नहीं है।,"(ब) मेरे जितने विद्यार्थी हैं, सभी सदाचारी हैं।",(स) मुझे थोड़े-से चावल चाहिए।,(द) एक एकड़ जमीन में धान की फसल है।,2,"मेरे जितने विद्यार्थी हैं, सभी सदाचारी हैं। → संबंधवाचक सार्वनामिक विशेषण।"
32,संज्ञा से निर्मित विशेषण है -,(अ) विस्मित,(ब) सुरभित,(स) निर्वासन,(द) सर्वांगीण,2,"क्रिया से निर्मित → भगोड़ा, लड़ाकू। सर्वनाम → तुम्हारा। संज्ञा से निर्मित → चाचा से चचेरा। निर्वासन संज्ञा शब्द है। निर्वासन से निर्मित निर्वासित विशेषण है।"
33,किस विकल्प में सभी शब्द परिमाणवाचक विशेषण हैं-,"(अ) ढेर सारी, दस किलो","(ब) पहला, अड़सठ","(स) दस, सातवीं","(द) सोलहवाँ, करोड़वाँ",1,"सोलहवाँ - संख्यावाचक विशेषण। दस, सातवीं, पहला - क्रमवाचक विशेषण। अड़सठ - पूर्णांकबोधक निश्चित संख्यावाचक। दस किलो, ढेर सारी - परिमाणवाचक विशेषण।"
34,'यह चाँदी खोटी सी दिखती है।' वाक्य में रेखांकित पद 'खोटी-सी' किस विशेषण का उदाहरण है,(अ) परिमाणवाचक,(ब) गुणवाचक,(स) संख्यावाचक,(द) सार्वनामिक,2,'खोटी-सी' गुणवाचक विशेषण है।
35,किस वाक्य में सर्वनाम का प्रयोग नहीं हुआ है -,(अ) भला आपने इसकी शांति का भी कुछ उपाय किया है।,(ब) आप भला तो जग भला।,(स) जितनी चादर देखो उतना पैर फैलाओ।,(द) तुम लोग अभी तक कहाँ थे?,3,जितनी चादर देखो उतना पैर फैलाओ। - संबंधवाचक सार्वनामिक विशेषण।
36,किस वाक्य में सार्वनामिक विशेषण नहीं है -,(अ) किसी बालक को बुलाओ।,(ब) इस पुस्तक को देखो।,(स) वह घर कृष्ण का है।,(द) यह हर कोई नहीं कर सकता है।,4,विकल्प 4 में अनिश्चयवाचक सर्वनाम है।
37,क्रिया से निर्मित विशेषण है -,(अ) लुटेरा,(ब) कपटी,(स) भारी,(द) अधीत,1,लूटना (क्रिया) - लुटेरा। कपट (संज्ञा) - कपटी (विशेषण)। भार (संज्ञा) - भारी (विशेषण)। अध्ययन (संज्ञा) - अधीत (विशेषण)।
38,किस वाक्य में 'अधिक' शब्द विशेषण के रूप में प्रयुक्त है -,(अ) चाय में अधिक शक्कर है।,(ब) दादा जी अधिक बोलते हैं।,(स) वंशिका अब अधिक पढ़ती है।,(द) महिलाएँ अधिक हँसती हैं।,1,चाय में अधिक शक्कर है। इस वाक्य में 'अधिक' शब्द शक्कर की विशेषता (परिमाण) प्रकट कर रहा है; इसलिए विशेषण के रूप में प्रयुक्त है। अन्य विकल्पों में 'अधिक' पद क्रिया की विशेषता प्रकट कर रहा है; इसलिए क्रियाविशेषण के रूप में प्रयुक्त हुआ है।
39,किस विकल्प के सभी शब्द गुणवाचक विशेषण हैं -,"(अ) टिकाऊ, पिघला, गाढ़ा","(ब) घना, गरीब, लाख","(स) भला, उद्यमी, अड़सठ","(द) पापी, धुँधला, इकसठ",1,"गुणवाचक - टिकाऊ, पिघला, गाढ़ा, घना, गरीब, भला, उद्यमी, पापी, धुंधला। संख्यावाचक विशेषण - लाख, अड़सठ, इकसठ।"
40,किस वाक्य में 'अच्छा' शब्द का प्रयोग विशेषण के रूप में हुआ है-,"(अ) अच्छा, तुम घर जाओ।",(ब) अच्छा है वह अभी आ जाए।,(स) तुमने अच्छा किया जो आ गए।,(द) यह स्थान बहुत अच्छा है।,4,स्थान की विशेषता प्रकट होने के कारण 'अच्छा' विशेषण है।
41,किस विकल्प में संज्ञा (विशेष्य) से बना विशेषण असंगत है -,(अ) उन्नति - उन्नतशील,(ब) अन्त - अन्तिम,(स) आदि - आदिम,(द) अपेक्षा - उपेक्षित,4,अपेक्षा - अपेक्षित। उपेक्षा - उपेक्षित।
42,विशेषण की उत्तमावस्था का प्रयोग किस वाक्य में किया गया है -,(अ) उसकी वाणी मधुर है।,(ब) इन दोनों लड़कियों में वह सुंदर है।,(स) प्रिया सब लड़कियों में कमतरीन है।,(द) वह उससे अच्छा है।,3,विकल्प (स) में विशेषण की उत्तमावस्था का प्रयोग हुआ है। विकल्प (अ) में मूलावस्था का उदाहरण है। विकल्प (ब) व (द) में उत्तरावस्था के उदाहरण हैं।
43,किस वाक्य में सार्वनामिक विशेषण नहीं है-,(अ) यह लड़की बहुत भोली है।,(ब) ऐसे व्यक्ति पर कभी विश्वास मत करो।,(स) कोई बोल रहा है।,(द) मैंने कोई भूत नहीं देखा।,3,कोई बोल रहा है। - अनिश्चयवाचक सर्वनाम।
44,विशेषण की उत्तमावस्था का प्रयोग किस वाक्य में किया गया है -,(अ) दिनेश राम से कमज़ोर है।,(ब) अर्चना पागल है।,(स) नवनीत सर्वश्रेष्ठ लड़का है।,(द) अंकिता का व्यवहार कुशल है।,3,नवनीत सर्वश्रेष्ठ लड़का है। - उत्तमावस्था। अर्चना पागल है। - मूलावस्था। दिनेश राम से कमज़ोर है। - उत्तरावस्था। अंकिता का व्यवहार कुशल है। - मूलावस्था।
45,किस वाक्य में सार्वनामिक विशेषण प्रयुक्त हुआ है-,(अ) कोई बात तो ज़रूर है जो तुम छिपा रहे हो।,(ब) आज मेरे घर कोई आया होगा।,(स) जो सोता है सो खोता है।,(द) वह हर घड़ी यहाँ आता है।,1,कोई बात तो ज़रूर है जो तुम छिपा रहे हो। - सार्वनामिक विशेषण। आज मेरे घर कोई आया होगा। - अनिश्चयवाचक सर्वनाम। जो सोता है सो खोता है। - संबंधवाचक सर्वनाम। वह हर घड़ी यहाँ आता है। - अनिश्चित संख्यावाचक विशेषण।
46,"निम्नलिखित में से संज्ञा शब्दों से बने विशेषण कौन-से हैं? कूट की सहायता से उत्तर दीजिए-
1. नाविक  2. आधारित  3. कल्पित  4. पियक्कड़  5. घृणित","(अ) केवल 1, 2, 4","(ब) केवल 1, 2, 3, 4","(स) केवल 1, 2, 3, 5","(द) केवल 2, 3, 5",3,नाव (संज्ञा) - नाविक। आधार (संज्ञा) - आधारित। कल्पना (संज्ञा) - कल्पित। पीना (क्रिया) - पियक्कड़। घृणा (संज्ञा) - घृणित।
47,किस विकल्प में सभी विशेषण संज्ञा से बने हैं -,"(अ) गलत, चढ़ाकू","(ब) उपेक्षित, पठनीय","(स) अक्लमंद, अधिकारी","(द) गर्म, बिकाऊ",3,"अक्ल - अक्लमंद, अधिकार - अधिकारी; दोनों विशेषण संज्ञा से बने हैं। उपेक्षा (संज्ञा) - उपेक्षित (विशेषण), पढ़ना (क्रिया) - पठनीय (विशेषण)। गलती (संज्ञा) - गलत (विशेषण), गर्मी (संज्ञा) - गर्म (विशेषण), चढ़ना (क्रिया) - चढ़ाकू (विशेषण), बिकना (क्रिया) - बिकाऊ (विशेषण)।"
48,निम्नलिखित विकल्पों में से सार्वनामिक विशेषणयुक्त वाक्य कौन-सा है-,(अ) उसे दवा दो-दो घंटे बाद दी जाए।,(ब) दोनों के दोनों लड़के मूर्ख निकले।,(स) राम का सिर कुछ भारी-सा हो गया।,(द) इतने गुणज्ञ और रसिक लोग एकत्र हैं।,4,"इतने (सर्वनाम) का प्रयोग गुणज्ञ व रसिक लोग की ओर संकेत हेतु हुआ है, इस वाक्य में सार्वनामिक विशेषण है।"
49,किस विकल्प में निश्चित परिमाणवाचक विशेषण का प्रयोग हुआ है-,(अ) यहाँ बहुत सारा घी रखा है।,(ब) किसान एक क्विंटल चावल बेचता है।,(स) सब्जी में ज्यादा नमक है।,(द) ज़रा-सी सब्जी दे दीजिए।,2,किसान एक क्विंटल चावल बेचता है। — निश्चित परिमाणवाचक। अन्य विकल्पों में अनिश्चित परिमाणवाचक विशेषण है।
50,निम्नलिखित शब्दों में से कौन-सा एक विशेषण है-,(अ) आलस,(ब) अवस्था,(स) सर्व,(द) गुस्सा,3,"'सर्व' अर्थात् सभी अनिश्चित संख्यावाची विशेषण हैं। आलस, अवस्था, गुस्सा भाववाचक संज्ञाएँ हैं।"
51,कौन-सा शब्द संज्ञा से बना हुआ विशेषण नहीं है-,(अ) धूमिल,(ब) जैसा,(स) क्षेत्रीय,(द) पथरीला,2,जो (सर्वनाम) - जैसा (विशेषण)। पत्थर (संज्ञा) - पथरीला (विशेषण)। धूम (संज्ञा) - धूमिल (विशेषण)। क्षेत्र (संज्ञा) - क्षेत्रीय (विशेषण)।
