No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
15,कृदन्त क्रिया के संदर्भ में असंगत कथन है-,कृदन्त क्रिया को असमापिका क्रिया 'भी कहा जाता है।,ये क्रियाएँ वाक्य के अंत में प्रयुक्त होती हैं।,ये क्रियापद क्रिया शब्दों के साथ प्रत्यय लगने पर बनते हैं। 98,इन क्रियाओं के साथ वाक्य का समापन नहीं होता है।,2,"; | - ये क्रियाएँ वाक्य के अंत में न आकर अन्यत्र प्रयुक्त होती है एवं इनके साथ वाक्य समाप्त नहीं होता है। कृदंत क्रिया- कृदंत क्रिया को 'असमापिका क्रियाएँ' भी कहा जाता है। ये क्रियाएँ वाक्य के अंत में न आकर अन्त्र प्रयुक्त होती हैं औरे'इनके साथ वाक्य समाप्त नहीं होता। ये क्रियापद वे पद हैं जो क्रिया शब्दों के साथ प्रत्यय लगने पर बनते हैं |""... . FS यथा- चल से चलना, चलता, चलकरं 7 5 ,_._ Pe TA € वह खेलते हुए गिर गया । ल ता नदियों का बहता जल सदैव शुद्ध होता है। |"
16,‘सहायक क्रिया’ के संबंध में असत्य कथन है-,ये क्रियाएँ स्थिति दर्शिका और विकार दर्शिका दोनों रूपों में प्रयुक्त होती हैं।,काल संबंधी ज्ञान के लिए सहायक क्रिया का प्रयोग होता है।,मुख्य क्रिया के अभाव में सदैव सहायक क्रिया प्रयुक्त होती है।,मुख्य क्रिया में सहायक रूप में आकर उसके अर्थ को पूर्णता प्रदान करने वाली क्रिया सहायक क्रिया होती है।,3,"सहायक क्रियाएँ मुख्य क्रियाओं के साथ ही प्रयुक्त होती हैं। जहाँ मुख्य क्रियाएँ नहीं बहाँ सहायक क्रियाएँ भी नहीं होती । यथा- 'बह था', 'शीला बीमार है' इन दोनों वाक्यों में 'था'और 'है' सहायक क्रियाएँ नहीं हैं; क्योंकि यहाँ मुख्य क्रिया का अभाव है।"
17,"""लिखना भी एक साघना है' वाक्य में कौन-सी क्रिया है-",कृदन्त क्रिया,क्रियार्थक क्रिया,नामधातु क्रिया,कोई नहीं,2,"PE - YN -मूल धातु में 'ना' जोड़ने से क्रियार्थक संज्ञाएँ बनती हैं। अर्थात्‌ जब क्रिया संज्ञो की तरह प्रयुक्त हो, लेकिन ऐसी क्रियाओं का प्रयोग वाक्य के अंत में न होकर वाक्य के आरंभ या मध्य में होता-है। कुछ वैयाकरण इन्हें क्रियार्थक संज्ञा भी कहते हैं। ® ` ० टहलना स्वास्थ्य के लिए अच्छा है। | ट ० जीना एक कला है। de ।"
18,किस वाक्य में द्विकर्मक क्रिया का प्रयोग हुआ है- 1,विद्यार्थी अनुवाद करता है।,राम ने रांवण को मारा। F म,उसने हमें पुस्तक दी। |,रघु ने गाना गाया ।,3,". , - ' उसने हमें पुस्तक दी। - द्विकर्मक क्रिया `. फिक - जिस वाक्य में क्रिया के साथ दो कर्म प्रयुक्त हुए हों। ऐसी क्रियाएँ द्विकर्मक क्रियाएँ कहलाती हैं। ० विद्यार्थी अनुवाद करता है। - अकर्मक क्रिया ० राम ने रावण को मारा । - सकर्मक क्रिया (एककर्मक) ' Fi, ० रघु ने गाना गाया |= सकर्मक क्रिया (एककर्मक) ए"
19,'अनिता गीत लिखत है' वाक्य में प्रयुक्त क्रिया है- CE,"एककर्मक क्रिया “""/_.. ज",द्विकर्मक क्रिया dnl PN Th,अकर्मक क्रिया dE MTs,इनमें से कोई नहीं । र,1,"'गीत' कर्मपद है - एक ही कर्म है जिस पर क्रिया का प्रभाव पड़ रहा है। - जिस क्रिया का एक ही कर्म हो अर्थात्‌ जब वाक्य में क्रिया के साथ एक कर्म प्रयुक्त हो तो उसे एककर्मक क्रिया कहते हैं। द्विकर्मक कया जिस वाक्य में क्रिया के साथ दो कर्म प्रयुक्त हुए हों, ऐसी क्रियाएँ द्विकर्मक क्रियाएँ कहलाती हैं । ० यथा- अध्यापक ने विद्यार्थियों को लेख लिखाया । (दो कर्म हैं)"
20,द्विकर्मक क्रिया के संबंध में असंगत कथन है-,जिस वाक्य में क्रिया के साथ दो कर्म प्रयुक्त हों ऐसी क्रिया द्विकर्मक क्रिया कहलाती है।,द्विकर्मक क्रियाओं का प्रथम कर्म अप्राणिवाचक एवं द्वितीय कर्म प्राणिवाचक होता है।,जिस कर्म से प्राणिवाचक का बोध हो उसे मुख्यकर्म कहते हैं।,"जिस कर्म से प्राणिवाचक (सजीव) का बोध हो, उसे गौणकर्म कहा जाता है।",2,द्विकर्मक क्रियाओं का प्रथम कर्म प्राणिवाचक (सजीव) होता है एवं द्वितीय कर्म अप्राणिवाचक (निर्जीव) होता है।
21,क्रिया के संबंध में असंगत युग्म है-,बच्चा रोता है - अकर्मक क्रिया,उसने रोटी बनाई - एककर्मक क्रिया,मुझे पढ़ना अच्छा लगता है - कृदन्त क्रिया,भारत ने लड़ाई लड़ी - सजातीय क्रिया,3,मुझे पढ़ना अच्छा लगता है - वाक्य में क्रियार्थक क्रिया है।
22,"धातु को छोड़कर अन्य पदों (संज्ञा, सर्वनाम, विशेषण, अव्यय) में प्रत्यय जोड़कर जो क्रिया रूप बनाए जाते हैं उन्हें कहते हैं-",पूर्वकालिक क्रिया,नामधातु क्रिया,सजातीय क्रिया,इनमें से कोई नहीं,2,"नामधातु क्रिया- ये क्रियाएँ संज्ञा, सर्वनाम या विशेषण के अंत में 'ना' प्रत्यय जोड़ने से बनती हैं। इन्हें 'नामिक क्रियाएँ' भी कहा जाता है।"
23,'गौण कर्म' के संदर्भ में उचित कथन चुनिए-,"द्विकर्मक धातु का पहला कर्म प्राणिवाचक होता है, जिसे हम 'गौण कर्म' कहते हैं।",गौण कर्म के साथ कारक चिह्न अवश्य आता है।,मुख्य कर्म के साथ कारक चिह्न का प्रयोग नहीं होता है।,उपर्युक्त सभी कथन सत्य हैं।,4,गौण कर्म संबंधी दिए गए सभी कथन सत्य हैं।
24,‘बच्चे खेल-कूद कर सो गए’ वाक्य में रेखांकित पद है-,समस्त धातु,व्युत्पन्न धातु,नामधातु,संयुक्त धातु,1,समस्त घातु - जिसमें दो धातुओं से दन्द समास बना लिया जाता है उन्हें समस्त धातु कहते हैं।
25,कर्मकता के आधार पर क्रियाभेद संबंधी ग़लत कथन चुनिए-,कर्मकता के आधार पर क्रिया के दो भेद हैं - सकर्मक क्रिया और अकर्मक क्रिया।,पूर्ण सकर्मक एवं अपूर्ण सकर्मक दोनों सकर्मक क्रिया के भेद हैं।,वाक्य में क्रिया के साथ एक कर्म होने परःएककर्मक एवं दो कर्म होने पर द्विकर्मक क्रिया होती है।,सकर्मक क्रियाओं में क्रिया के व्यापार का फल कर्ता पर पड़ता है.। +...,4,". | FE, - अकर्मक क्रियाओं में क्रिया के व्यापार का फल कर्ता पर पड़ता है। ` सकर्मक क्रियाओं में क्रिया के व्यापार का फल कर्म पर पड़ता है। 5"
26,गत्यर्थक पूर्ण अकर्मक क्रिया से संबंधित विकल्प का चयन कीजिए-,राम सो रहा है।,हिना जाग रही है।,मैं मुस्कुरा रहा हूँ।,आयुष तैर रहा है।,4,"i SM - आयुष तैर रहा है। वाक्य में गत्यर्थक'पूर्ण अकर्मक क्रिया है एवं शेष विकल्प स्थित्यर्थक पूर्ण अकर्मक क्रिया के हैं। ,, bh - गत्यर्थक पूर्ण अकर्मक क्रिया - i 3 वह क्रिया जो कर्म तथा पूरक के अभाव में ही कर्ता को गति प्रदान करे अथवा गति प्रकट करे, उसे गत्यर्थक पूर्ण अकर्मक क्रिया कहते हैं । जैसेः- आना, जाना, तैरना, चलना आदि। - स्थित्यर्थक पूर्ण अकर्मक क्रिया - वे क्रियाएँ जो कर्म तथा,पूरक के अभाव में अर्थात्‌ बिना कर्म और बिना पूरक के ही वाक्य का पूरा अर्थ प्रकट कर देती हैं। - जैसेः- मुस्कुराना, सोना, जगना, रोना आदि। _. i 3"
27,"सूची-I के साथ सूची-II का मिलान कीजिए- सूची-I (वाक्य): (अ) प्रिया जागकर पढ़ती है। (ब) सीता जोर से हँसती है। (स) राकेश ने गीता को पुस्तक दी। (द) राम, श्याम से पत्र लिखवाता है। सूची-II (क्रिया भेद): (अ) अकर्मक क्रिया (ब) द्विकर्मक क्रिया (स) पूर्वकालिक क्रिया (द) प्रेरणार्थक क्रिया। कूट की सहायता से उत्तर दीजिए-","1-अ, 2-ब, 3-स, 4-द","1-स, 2-अ, 3-ब, 4-द","1-स, 2-अ, 3-ब, 4-अ","1-अ, 2-ब, 3-द, 4-स",2,"ीजिए- (अ)1-अ, 2-ब, 3-स, 4-द्‌ (ब) 1- स, 2 -अ, ३-ब 4- द (स) 1 न 2-अ, ३-ब, 4-अ (द) I- अ, 2-ब, ३-द्‌, 4-स 2 ती संस्थान माहिया पाठशाला - 6386843919, 9610104105"
28,किस वाक्य में ‘संयुक्त क्रिया’ का प्रयोग नहीं हुआ है-,बादलों के कारण सूरज नहीं दिखाई दिया।,वह सारा खाना खा गया।,मेरे जाने से पहले बस रवाना हो चुकी थी।,मदारी के करतब देखकर दर्शक खूब हँसे।,4,
29,निम्नलिखित में से किस वाक्य में क्रिया का अकर्मक रूप में प्रयोग हुआ है-,सिपाही चोर को पकड़ता है।,राधा आम खाती है।,सोनालिका स्कूल में घूमती है।,श्याम गेंद खेलता है।,3,"|; विकल्प 3 में 'स्कूल में' कर्म न होकर अधिकरण है, जिसमें बह घूमती है।"
30,निम्नलिखित में से किसी एक वाक्य में अकर्मक क्रिया का प्रयोग नहीं हुआ है,रमेश का भाई सुरेश रोज रात्रि में विचरण करता है। 3,अरुण लिखता है। \ ज,मुकेश विदूषक की बात पर जोर से हँसता है। ',राधा गहरी नींद में सोती है।,2,
31,किस विकल्प में सभी नामधातु क्रियाएँ हैं-,"समझना, लड़ना","सुखाना, अपनाना","पुराना, बतियाना","पढ़वाना, सजाना",2,"संज्ञा, सर्वनाम और विशेषण में प्रत्यय लगकर बनने वाली क्रिया नामधातु क्रिया कहलाती है। विकल्प 2 में 'सुखाना' विशेषण से निर्मित (सूरा + ना) व 'अपनाना' सर्वनाम से निर्मित (अपना + ना) क्रिया है। विकल्प 1 - समझना, लड़ना - मुख्य क्रियाएँ हैं। विकल्प 3 - 'पुराना' विशेषण है और 'बतियाना' नामधातु क्रिया है। विकल्प 4 - 'पढ्वाना' द्वितीय प्रेरणार्थक और 'सजाना' प्रथम प्रेरणार्थक है। ["
32,निम्नलिखित उदाहरणों में से किस वाक्य में क्रिया सही रूप से वर्गीकृत नहीं किया गया है- |,वह घर आना चाहता है। - प्रेरणार्थक क्रिया,राजू खाना खाकर जयपुर जाएगा - पूर्वकालिक क्रिया,सेना ने वीरता पूर्वक लड़ाई लड़ी - सजातीय क्रिया,सीता ऊँचे स्वर में गाती है - सकर्मक क्रिया,1,"्रेरणार्थक क्रिया बह होती है, जिसमें कोई व्यक्ति किसी अन्य को किसी कार्य के लिए प्रेरित कराता है, जैसे — 'राधा ने श्याम को जगवाया ।' बह घर आना चाहता हैं। - अकर्मक क्रिया |"
33,निम्नलिखित में से कौन-सा वाक्य अनुकरणात्मक क्रिया का उदाहरण है-,फूलों पर भंवरा भिनभिना रहा है। FR,राकेश सुरेश के पीछे चल रहा है। #2,जल का स्तर तो बढ़ता ही जा रहा है। A,"विद्यार्थी अध्यापक को,अनुकरण करता है। E ` उत्तर- 1 | न",1,"_ ° fs F 'भिनभिना रहा है' क्रिया भँवरे की ध्वनि का अनुकरण करती है। न अनुकरणात्मक, क्रिया बह होती है जो किसी ध्वनि, स्वर या गति की नकल करती है। ध्वनिसूचक क्रियाएँ- ये क्रियाएँ ध्वनिसूचक शाब्द के अंत में 'आ' करके 'ना' जोड़ने से बनती हैं।*- . ० यथा- भनभन - भनभनाना, थरथर - थरथराना, भिनभिन - भिनभिनाना, खटखट - खटखटाना, बिलबिल - बिलबिलाना, मचमच - मचमचाना ।"
34,_ निम्नलिखित में से किस वाक्य में स्थित्यर्थक क्रिया का प्रयोग हुआ है-,आयुष तैर रहा है। : ॐ,हेमंत सड़क पर दौड़ रहा है। ॒ PR,दादा जी ऊँघ रहे हैं।,सिमी गार्डन में टहल रही है। Br,3,"Fe Dl 'ऊंघ रहे हैं', क्रिया एंक स्थ्रिति को प्रकट कर रही है; इसलिए स्थित्यर्थक क्रिया है' CCN अन्य विकल्पों में गत्यर्थकं क्रिया का प्रयोग हुआ है। ed"
35,किस वाक्य में सहायक क्रिया का प्रयोग नहीं हुआ है-,भिखारी ने चादर ओढ़ी हुई थी।,वह घर जा रहा था।,राहुल बहुत सुंदर है।,संगीता अपने घर गई हुई थी।,3,
36,किस विकल्प में साधारण क्रिया नहीं है-,चलना,समझाना,लड़ना,आना,2,
37,नामधातु क्रिया का उदाहरण किस विकल्प में नहीं है-,गलियाना,मुटियाना,सठियाना,गलाना,4,
38,किस वाक्य में अकर्मक क्रिया है-,मैं समाचार-पत्र पढ़ रहा हूँ।,आप मेरे मित्र ठहरे।,माँ बच्चे को सुलाती है।,नौकर चिट्ठी लाया।,2,"VERS GMAT (अ)मैं समाचार-पत्र पढ़ रहा हूँ । इस वाक्य में 'पंढना' सकर्मक क्रिया है; क्योंकि 'समाचार-पत्र' पढ़ा जा रहा है, जो कि कर्म है। (ब)आप मेरे मित्र ठहरे । - 'ठहरना' यहाँ होना / सिद्ध होना के अर्थ में प्रयुक्त है । इसका कोई कर्म नहीं है; इसलिए अकर्मक क्रिया है। यहाँ 'ठहरना' कर्ता की अवस्था व्यक्त कर रहा है। (स)माँ बच्चे को सुलाती है। - 'सुलाना' सकर्मक (प्रथम प्रेरणार्थक) क्रिया है। 'बच्चे को' कर्म है। (द)नौकर चिट्टी लाया । - 'लाना' सकर्मक क्रिया है । 'चिट्री' कर्म है।"
39,किस वाक्य में ‘द्विकर्मक क्रिया’ प्रयुक्त हुई है-,वह दिन-रात बहुत परिश्रम करता है।,कपिल पलंग पर सो रहा है।,लड़के ने अपने साथी को पुस्तक दी।,वह बिना बात ही हँस रही है।,1,° जया ने खाना बना लिया। -> संयुक्त क्रिया ° तारे टिमटिमाते हैं। ~ अकर्मक क्रिया . मेरा मन ललचाया । ~ अकर्मक क्रिया
40,क्रिया के भेद और उसके उदाहरण की दृष्टि से कौन-सा विकल्प सुमेलित है- 1. सकर्मक - वह खेल रहा है। 2. प्रेरणार्थक - गुरु जी बच्चों से प्रार्थना करवाते हैं। 3. अकर्मक - घोड़े मैदान में दौड़ रहे हैं। 4. क्रियार्थक - जीना एक कला है।,"1, 2 और 3",केवल 2 एवं 3,"2, 3 और 4",केवल 2 एवं 4,3,
41,क्रिया के भेद और उसके उदाहरण की दृष्टि से कौन-सा विकल्प सुमेलित नहीं है- (अ) पिता ने बेटी को उपहार दिया। - द्विकर्मक (ब) वह उर्दू पढ़ाता है। - अकर्मक (स) हँसना स्वास्थ्य के लिए अच्छा है। - क्रियार्थक क्रिया (द) माँ मोहन को आम खिलाती है। - द्वितीय प्रेरणार्थक क्रिया। कूट-,केवल 2,केवल 1 और 2,केवल 2 और 4,"1, 2 और 3",3,
42,क्रिया के भेद और उसके उदाहरण की दृष्टि से कौन-सा विकल्प सुमेलित नहीं है- (अ) पिता ने बेटी को उपहार दिया। - द्विकर्मक (ब) वह उर्दू पढ़ाता है। - अकर्मक (स) हँसना स्वास्थ्य के लिए अच्छा है। - क्रियार्थक क्रिया (द) माँ मोहन को आम खिलाती है। - द्वितीय प्रेरणार्थक क्रिया। कूट-,केवल 2,केवल 1 और 2,केवल 2 और 4,"1, 2 और 3",3,वह उर्दू पढ़ाता है। - सकर्मक क्रिया । माँ मोहन को आम खििलाती है - प्रथम प्रेरणार्थक क्रिया
43,निम्नलिखित वाक्य में क्रिया का कौन-सा भेद है - वह अपना सिर खुजलाता है।,आज्ञार्थक,सकर्मक,प्रेरणार्थक,अकर्मक,2,इस वाक्य में 'खुजलाता है' क्रिया है और 'अपना सिर' क्रिया का कर्म है। प्रश्न - क्या खुजलाता है? उत्तर - अपना सिर अतः यह सकर्मक क्रिया है।
44,किस वाक्य में क्रिया अकर्मक रूप में प्रयुक्त हुई है-,बच्चों ने बहुत सुंदर गीत गाया।,वह धीरे-धीरे चलता है।,वेदव्यास ने जयसंहिता लिखी।,मदारी बंदर को नचवाता है।,2,
45,` निम्नलिखित में से किस वाक्य में 'द्विकर्मेक क्रिया' है- ‘FP,पंकज प्रतिदिन आइसक्रीम और मिठाई खाता है।,वंदना और सीता नियमित रूप से घूमने जाती हैं।,मनीष चाय भी पीता है और दूध भी पीता है। |,"प्राचार्य ने विद्यार्थियों को पुरस्कार दिए।*,. > 5 PO | द, el",4,"प्राचार्य ने विद्यार्थियों को पुरस्कार दिए । - इस वाक्य में 'देना' क्रिया है। गौण कर्म - विद्यार्थियों को, मुख्य कर्म - पुरस्कार । अतः इस वाक्य में द्विकर्मक क्रिया है। | F विकल्प (अ) पंकज प्रतिदिन irs और मिठाई खाता है। ~ ° क्रिया - खाता है, कर्म :,आइसक्रीम औरं मिठाई । [ Ce इस वाक्य में दो वस्तुएँ हैं; लेकिन्.दोनों एक ही प्रकार के कर्म हैं, जो एक कर्म के रूप में प्रयुक्त हुए हैं। विकल्प (ब) वंदना और सीता नियमित रूप से घूमने जाती हैं""... |"", ७.“ इस वाक्य में 'घूमने जाना' क्रिया है और ' नियमित रुप से"" कर्म न होंकर अवस्था / स्थिति का द्योतक है। अतः इस वाक्य में अकर्मक क्रिया है। EN, 5 [ बिकल्प (स) मनीष चाय भी पीता है और दूध भी पीता है। क्रिया - पीता है, कर्म - चाय, दूध । इसमें दोनों अलग-अलग वाक्यांशों के कर्म हैं; एक साथ दो कर्म नहीं । अतः द्विकर्मक क्रिया नहीं है।"
46,इनमें से कौन-सी क्रियाएँ सकर्मक होने के साथ ही पूर्वकालिक क्रिया भी हैं-,"आकर, रोकर, खाकर","सोना, खाना, पीना","गाकर, लिखकर, पढ़कर","लिखना, पढ़ना, खाना",3,
47,किस वाक्य में प्रेरणार्थक क्रिया का प्रयोग हुआ है-,वह आजकल संगीत का अभ्यास कर रहा है।,सीता बाज़ार से फल खरीदकर छात्रों को वितरित करती है।,डॉक्टर मरीज को दवाई पिलवाता है।,हमने खाना बनाया है।,3,
48,तात्कालिक क्रिया का उदाहरण है-,नामधातु क्रिया,संयुक्त क्रिया,कृदन्त क्रिया,पूर्वकालिक क्रिया,4,
49,‘देवताओं ने राम के हाथों रावण का वध करवाकर इस संसार के डरते हुए मनुष्यों को कष्टों से मुक्त कर दिया’ उपर्युक्त वाक्य में किस क्रिया का प्रयोग नहीं हुआ है-,नामधातु क्रिया,संयुक्त क्रिया,कृदन्त क्रिया,पूर्वकालिक क्रिया,1,
50,‘होना’ क्रिया मुख्य क्रिया के रूप में किस वाक्य में प्रयुक्त हुई है-,वह व्यक्ति भूला हुआ है।,रमेश मूर्छित हो गया है।,प्रतिस्पर्धा में तेज़ चलना होता है।,बसंत जयपुर के लिए रवाना हो गया।,2,
51,अकर्मक क्रिया का उदाहरण नहीं है-,लड़का इस विद्यालय में पढ़ता है।,नरेश का भाई सुनील खाना खा रहा है।,छह माह का शिशु रो रहा है।,नरेन्द्र बहुत तेज़ दौड़ता है।,2,
52,किस वाक्य में सजातीय क्रिया का प्रयोग हुआ है-,तुम्हें ऐसा करना शोभा नहीं देता है।,वह खेलते हुए गिर गया।,वह अनेक बोलियाँ बोलता है।,हमें खाना अच्छा लगता है।,3,
53,अध्यापिका कक्षा में चित्र दिखाकर बच्चों को पढ़ाती है। उक्त वाक्य में क्रिया है-,प्रेरणार्थक क्रिया,सजातीय क्रिया,पूर्वकालिक क्रिया,कृदन्त क्रिया,3,
54,किस वाक्य में प्रेरणार्थक क्रिया का प्रयोग नहीं हुआ है-,सीता राधा से कपड़े धुलवाती है।,माँ मीना से अख़बार पढ़वाती है।,मालिक नौकर से सफाई करवा रहा है।,बरसात के बिना फसल सूख रही है।,4,
55,किस वाक्य में द्विकर्मक क्रिया का प्रयोग हुआ है-,विद्यार्थी अनुवाद करता है।,ऋचा चावल पकाती है।,डाकिए ने मुझे पार्सल दिया।,माली फूल तोड़ रहा है।,3,
56,‘गुरुदेव अध्यापन कराएँगे’ वाक्य में प्रयुक्त क्रिया है-,एककर्मक क्रिया,द्विकर्मक क्रिया,अकर्मक क्रिया,इनमें से कोई नहीं।,1,
57,किस वाक्य में ‘नामधातु क्रिया’ का प्रयोग हुआ है-,राम खेलकर चला गया।,राधा दौड़कर घर गई।,वह सोकर जग गया है।,राधा बहुत तुतलाती है।,4,
58,क्रिया के संबंध में असंगत युग्म है- > ' b-,बच्चा सुबह से रो रहा है - अकर्मक क्रिया ',उसे देखना अच्छा लगता है - रंजक क्रिया,बकरी पत्तियाँ खाती है - एककर्मक क्रिया ल,भारत ने अनेक लड़ाइयाँ लड़ी - सजांतीय क्रिया 2 उसे देखना अच्छा लगता है। _ क्रियार्थक क्रिया है।,2,
59,असंगत कथन का चयन कीजिए-,नदियों का बहता जल सदैव शुद्ध होता है - क्रियार्थक क्रिया,श्याम जूते पहनकर चला गया - पूर्वकालिक क्रिया,प्रणव ने किसान की जमीन हथिया ली - नामधातु क्रिया,डाकिया डाक लाया - सकर्मक क्रिया,1,
