No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
11,इनमें से भाववाचक संज्ञा से बना विशेषण नहीं है-,नैतिक,प्राथमिक,आध्यात्मिक,व्यावहारिक,2,‘प्राथमिक’ ‘प्रथम’ संख्यावाची विशेषण से ‘इक’ प्रत्यय द्वारा बना है; यह भाववाचक संज्ञा से बना विशेषण नहीं है।
12,‘हिमालय से निकली गंगा का बहाव बहुत तेज़ है’ वाक्य में किस प्रकार की संज्ञाओं का प्रयोग हुआ है?,"भाववाचक, जातिवाचक","जातिवाचक, द्रव्यवाचक","व्यक्तिवाचक, भाववाचक","जातिवाचक, व्यक्तिवाचक",3,‘हिमालय’ और ‘गंगा’ व्यक्तिवाचक हैं तथा ‘बहाव’ ‘बहना’ क्रिया से बनी भाववाचक संज्ञा है।
13,व्यक्तिवाचक संज्ञा का प्रयोग जातिवाचक संज्ञा की तरह किस विकल्प में हुआ है?,शास्त्री जी भारत के यशस्वी प्रधानमंत्री थे।,पुरी की पवित्रता सर्वविदित है।,देश में ‘जयचंदों’ की कमी नहीं है।,कभी-कभी दूरियाँ ही अपनेपन का आभास कराती हैं।,3,‘जयचंद’ का बहुवचन ‘जयचंदों’ किसी एक व्यक्ति के बजाय एक प्रकार के लोगों का बोध कराता है; इसलिए जातिवाचक प्रयोग है।
14,‘संजय के भाई जितेन्द्र ने कठिन मेहनत कर परीक्षा में सफलता अर्जित की।’ वाक्य में किस संज्ञा का प्रयोग नहीं हुआ?,समूहवाचक,भाववाचक,व्यक्तिवाचक,जातिवाचक,1,"‘संजय’ और ‘जितेन्द्र’ व्यक्तिवाचक, ‘भाई’ और ‘परीक्षा’ जातिवाचक तथा ‘मेहनत’ और ‘सफलता’ भाववाचक हैं; समूहवाचक नहीं है।"
15,निम्नलिखित में से जातिवाचक संज्ञा से निर्मित भाववाचक संज्ञा है-,नवाबी,कठोरता,सर्वस्व,नीचता,1,‘नवाब’ जातिवाचक संज्ञा से ‘नवाबी’ भाववाचक संज्ञा बनी है। अन्य विकल्प क्रमशः विशेषण/सर्वनाम से बने हैं।
16,व्यक्तिवाचक संज्ञा का जातिवाचक संज्ञा के रूप में प्रयोग किस वाक्य में हुआ है?,गुणवती महिलाओं का आदर करो।,लक्ष्मीबाई बहुत वीरांगना थी।,हरिश्चन्द्र सत्यवादी राजा था।,आल्पस पर्वत यूरोप का हिमालय है।,4,"‘हिमालय’ का प्रयोग यहाँ किसी एक पर्वत के नाम के रूप में नहीं, बल्कि यूरोप के प्रमुख पर्वत के उपमान/जातिगत अर्थ में किया गया है।"
17,भाववाचक संज्ञा के संबंध में असंगत तथ्य है-,भाववाचक संज्ञा के दो प्रकार हैं—रूढ़ और अयौगिक भाववाचक संज्ञा।,भाववाचक संज्ञाएँ सदैव एकवचन में प्रयुक्त होती हैं।,भाववाचक संज्ञाएँ अमूर्त व कल्पित होती हैं।,भाववाचक संज्ञाएँ यदि बहुवचन में प्रयुक्त हों तो जातिवाचक में रूपान्तरित हो जाती हैं।,2,स्रोत में भाववाचक संज्ञा के प्रकार मूल/अयौगिक और यौगिक बताए गए हैं; इसलिए ‘सदैव एकवचन’ वाला कथन असंगत है।
18,किस भाववाचक संज्ञा का निर्माण अव्यय से नहीं हुआ है?,वाहवाही,उभार,निचाई,समीपता,2,"‘उभार’ ‘उभरना’ क्रिया से बना है। ‘वाहवाही’, ‘निचाई’ और ‘समीपता’ स्रोत में अव्यय से बने बताए गए हैं।"
19,कौन-सा विकल्प भाववाचक संज्ञा की दृष्टि से असंगत है?,"परिमार्जित, नितांत, नाटकीय","चांचल्य, खीज, रक्तिमा","मानसिकता, प्रपंच, एकत्व","गहराई, उड़ान, कसावट",1,"‘परिमार्जित’, ‘नितांत’ और ‘नाटकीय’ विशेषण हैं; इस विकल्प में भाववाचक संज्ञाओं का समूह नहीं है।"
20,किस वाक्य में संज्ञा बहुवचन रूप में प्रयुक्त हुई है?,लड़के ने खाना खाया।,लड़के खेल रहे थे।,लड़के को बुलाओ।,लड़के के लिए पत्र लिखा गया।,2,‘लड़के खेल रहे थे’ में ‘लड़के’ बहुवचन कर्ता है; अन्य वाक्यों में ‘लड़के’ का प्रयोग एकवचन/अन्य कारक रूप में है।
21,सर्वनाम से निर्मित भाववाचक संज्ञा है-,आपा,वैधव्य,वैदुष्य,नीरवता,1,‘आप’ सर्वनाम से ‘आपा’ भाववाचक संज्ञा बनी है। वैधव्य और वैदुष्य जातिवाचक शब्दों से तथा नीरवता विशेषण से बनी है।
22,किस विकल्प के सभी संज्ञा शब्द विशेषण शब्दों से निर्मित हैं?,"खटास, नवाबी","बालकपन, ठाकुरी","अहंकार, चुप्पी","वीरता, हानि",4,‘वीर’ से वीरता और ‘हानिकारक’ से हानि—स्रोत में दोनों को विशेषण से निर्मित भाववाचक संज्ञाएँ बताया गया है।
23,किस विकल्प में भाववाचक संज्ञा का उदाहरण नहीं है?,व्यक्ति का बुढ़ापा उसे लाचार बना देता है।,ताड़ के इस पेड़ की ऊँचाई बहुत अधिक है।,देश को नटवरलालों ने तरह-तरह से ठगा है।,मुझे अपना बचपन बहुत याद आता है।,3,"‘नटवरलालों’ बहुवचन में प्रयुक्त व्यक्तिवाचक नाम है, इसलिए जातिवाचक अर्थ देता है; यह भाववाचक संज्ञा नहीं है।"
24,निम्नलिखित वाक्यों में से जातिवाचक संज्ञा का उदाहरण है-,आजकल की पढ़ाइयाँ बहुत महँगी हैं।,भारतेन्दु हिंदी के मूर्धन्य साहित्यकार हैं।,स्वतंत्रता के बाद सरदार ने रियासतों का एकीकरण किया।,मित्रता ही परम धर्म है।,1,‘पढ़ाइयाँ’ बहुवचन में प्रयुक्त होकर जातिवाचक अर्थ देती है; स्रोत में इसे जातिवाचक संज्ञा माना गया है।
25,किस विकल्प में क्रिया से बनी भाववाचक संज्ञा नहीं है?,कटाई,उठाव,कलाकारी,खिंचाव,3,"‘कलाकारी’ ‘कलाकार’ जातिवाचक शब्द से बनी है; जबकि कटाई, उठाव और खिंचाव क्रियाओं से बने हैं।"
26,निम्नलिखित विकल्पों में से जातिवाचक संज्ञा से निर्मित भाववाचक संज्ञा है-,प्रतिष्ठा,ठकुराई,मर्यादा,बीमारी,2,‘ठाकुर’ जातिवाचक संज्ञा से ‘ठकुराई’ भाववाचक संज्ञा बनी है।
27,निम्नलिखित में से असंगत है-,संज्ञा एवं सर्वनाम को ‘महानाम’ भी कहा जाता है।,डॉ. भोलानाथ तिवारी ने संज्ञाओं के चार भेद माने हैं।,द्रव्यवाचक संज्ञाएँ गणनीय नहीं होती हैं।,द्रव्यवाचक संज्ञाएँ वस्तुतः एकवचन में ही प्रयुक्त होती हैं; परन्तु किन्हीं शब्दों का बहुवचन भी बनाया जा सकता है।,1,"स्रोत में ‘महानाम’ को संज्ञा का पर्याय नहीं, बल्कि ‘नामों की अनंत संख्या’ के संदर्भ में दिया गया है; इसलिए यह कथन असंगत बताया गया है।"
28,‘गांधी को राष्ट्रपिता कहा गया है।’ वाक्य में संज्ञा किससे किस रूप में परिवर्तित हो रही है?,जातिवाचक से व्यक्तिवाचक,भाववाचक से जातिवाचक,व्यक्तिवाचक से जातिवाचक,व्यक्तिवाचक से भाववाचक,1,स्रोत के अनुसार इस वाक्य में संज्ञा जातिवाचक से व्यक्तिवाचक रूप में परिवर्तित हुई है।
29,संगत कथन का चयन कीजिए।,"केवल 1, 2 और 3",केवल 1 और 4,केवल 2 और 4,"केवल 2, 3 और 4",2,स्रोत का उत्तर (2) है। व्यक्तिवाचक और भाववाचक वाले कथन संगत हैं; गंगा व्यक्तिवाचक और लोकसभा/दर्जन समूहवाचक होने से अन्य कथन असंगत हैं।
30,निम्नलिखित में से किस विकल्प में व्यक्तिवाचक संज्ञाओं का जातिवाचक संज्ञा के रूप में प्रयोग नहीं हुआ है?,केवल 1 और 2,"केवल 1, 2 और 4",केवल 3 और 4,केवल 3,4,‘हरिश्चन्द्र सत्यवादी राजा था’ में हरिश्चन्द्र व्यक्तिवाचक ही है; अन्य दिए उदाहरणों में व्यक्तिवाचक नाम जातिवाचक अर्थ में आए हैं।
31,विशेषण से निर्मित भाववाचक संज्ञा के संदर्भ में संगत विकल्प का चयन कीजिए।,"केवल 1, 2 और 3","केवल 1, 3 और 4","केवल 2, 3 और 4",उपर्युक्त सभी,2,"स्रोत का उत्तर (2) है। महान्–महत्ता, वीर–वीरता, भारी–भारीपन, श्रीमान्–श्रीमत्ता और कटु–कटुता, चंचल–चांचल्य संगत हैं; विनम्रता-विनम्र वाला युग्म उलटा है।"
32,कौन-सा विकल्प सही नहीं है?,विशेषण रहित संज्ञाओं की अपेक्षा विशेषण सहित संज्ञाओं से व्यापक अर्थ की प्राप्ति होती है।,"विशेषण के द्वारा जिस संज्ञापद की व्याप्ति संकुचित होती है, उसे विशेष्य कहा जाता है।",विशेषण शब्द संज्ञा की अर्थ-संबंधिनी व्याप्ति मर्यादित करते हैं।,शब्द-प्रकृति के आधार पर विशेषण के चार भेद माने गए हैं।,1,"विशेषण सहित संज्ञा का अर्थ अधिक संकुचित होता है, व्यापक नहीं; उदाहरण में ‘घोड़ा’ की अपेक्षा ‘काला घोड़ा’ की व्याप्ति कम है।"
33,‘हमें विभीषणों से बचना चाहिए’ वाक्य में संज्ञा किससे किस रूप में परिवर्तित हो रही है?,व्यक्तिवाचक से जातिवाचक,व्यक्तिवाचक से भाववाचक,जातिवाचक से व्यक्तिवाचक,भाववाचक से जातिवाचक,1,"‘विभीषण’ व्यक्तिवाचक नाम है; बहुवचन ‘विभीषणों’ में यह एक प्रकार के लोगों का बोध कराता है, इसलिए जातिवाचक प्रयोग है।"
34,निम्नलिखित विकल्पों में से संज्ञा का विकारक तत्त्व है-,वाच्य,पुरुष,कारक,काल,3,"स्रोत में लिंग, वचन और कारक को संज्ञा के विकारक बताया गया है; इसलिए ‘कारक’ सही है।"
35,निम्नलिखित में से किस विकल्प में सभी शब्द जातिवाचक संज्ञा हैं?,"आचार्य, हाथ, कलाकारी, मित्र","व्याख्याता, पेट, विधानसभा, नवनीत","जुलाहा, महीना, महाविद्यालय, भूकंप","डाकू, पुरोहित, भक्त, पौरोहित्य",3,"जुलाहा, महीना, महाविद्यालय और भूकंप—चारों को स्रोत में जातिवाचक संज्ञा बताया गया है।"
36,निम्नलिखित में से जातिवाचक संज्ञा से निर्मित भाववाचक संज्ञा है-,भ्रातृत्व,परायापन,भूरापन,मौलिकता,1,‘भ्राता’ जातिवाचक संज्ञा से ‘भ्रातृत्व’ भाववाचक संज्ञा बनी है।
37,कौन-सा विकल्प भाववाचक संज्ञा की दृष्टि से संगत है?,"कृतज्ञ, कुशाग्र, पराधीन, अतिशय","अनिवार्य, अवसरवादी, ऋजु, सभ्य","कायरता, तीखापन, निर्भरता, आधुनिकता","बचना, पहुँचना, थकना, परस्पर",3,"कायरता, तीखापन, निर्भरता और आधुनिकता सभी भाववाचक संज्ञाएँ हैं; अन्य विकल्पों में विशेषण या क्रिया शब्द हैं।"
38,संज्ञा संबंधी असंगत कथन पर विचार कीजिए।,सम्यक् रूप से जानना ही संज्ञा है।,संज्ञा एक विकारी पद है।,"काल, वाच्य एवं पुरुष संज्ञा के विकारक हैं।",विशेषणवाचक पदों के साथ यदि कारक चिह्न लगे हों तो वे संज्ञा का कार्य करते हैं।,3,"लिंग, वचन एवं कारक संज्ञा के विकारक हैं; काल, वाच्य और पुरुष संज्ञा के विकारक नहीं हैं।"
39,किस विकल्प में सभी शब्द जातिवाचक संज्ञा के हैं?,"राम, यूराल, शहर","गुरु, अंगुली, गधा","नेवला, चेतक, राधा","सत्य, सुख, क्षमा",2,"गुरु, अंगुली और गधा जातिवाचक संज्ञाएँ हैं। अन्य विकल्पों में व्यक्तिवाचक या भाववाचक शब्द हैं।"
40,‘चाँदी’ शब्द किस संज्ञा का उदाहरण है?,व्यक्तिवाचक,जातिवाचक,भाववाचक,गणनावाचक,2,"चाँदी द्रव्यवाचक संज्ञा है, और स्रोत के अनुसार द्रव्यवाचक को जातिवाचक का एक भेद माना गया है; इसलिए विकल्प (2) है।"
41,किस विकल्प में भाववाचक संज्ञा नहीं है?,"अजरता, उचितता","कुशाग्रता, मालिन्य","मधुराई, अमरत्व","असार, अजर",4,‘असार’ और ‘अजर’ विशेषण हैं; स्रोत में अन्य विकल्पों के शब्दों को भाववाचक संज्ञा माना गया है।
42,किस विकल्प में जातिवाचक संज्ञा है?,मर्द,रक्षाबंधन,पाप-पुण्य,दौड़धूप,1,"‘मर्द’ जातिवाचक संज्ञा है। रक्षाबंधन व्यक्तिवाचक, जबकि पाप-पुण्य और दौड़धूप भाववाचक उदाहरण बताए गए हैं।"
43,"‘बिखराव, ठंडक’ किस संज्ञा के उदाहरण हैं?",जातिवाचक,व्यक्तिवाचक,भाववाचक,समुदायवाचक,3,‘बिखराव’ क्रिया ‘बिखरना’ से और ‘ठंडक’ विशेषण ‘ठंडा’ से बनी भाववाचक संज्ञाएँ हैं।
44,संज्ञा के संदर्भ में असंगत है-,"व्यक्तिवाचक—पूर्व, पश्चिम, मुहर्रम","जातिवाचक—नकुल, बाघ, ऐरावत","भाववाचक—ख्याति, चाहत, फिरौती","जातिवाचक—घड़ी, टेबल, आचार्य",2,स्रोत में जानवरों के विशिष्ट नाम व्यक्तिवाचक माने गए हैं; नकुल और ऐरावत विशिष्ट नाम होने से इस विकल्प का वर्गीकरण असंगत है।
45,संज्ञा के संदर्भ में असंगत का चयन कीजिए-,पदों तथा व्यवसायों के नाम व्यक्तिवाचक संज्ञा होते हैं।,पर्वत व पहाड़ों के नाम व्यक्तिवाचक होते हैं।,सब्जियों व फलों के नाम व्यक्तिवाचक में आते हैं।,संबंधवाची शब्द जातिवाचक संज्ञा के अन्तर्गत आते हैं।,1,"पदों और व्यवसायों के नाम जातिवाचक संज्ञा के उदाहरण हैं, जैसे आचार्य, गुरु, शिक्षक, मंत्री और विधायक।"
46,किस विकल्प के सभी शब्द भाववाचक संज्ञा के हैं?,"दिखावटी, पहनावा","सास-ससुर, कचहरी","पंखा, छटपटाहट","तनाव, हथेली",1,स्रोत के अनुसार ‘दिखावटी’ और ‘पहनावा’ भाववाचक संज्ञाएँ हैं; अन्य विकल्पों में जातिवाचक संज्ञाएँ भी हैं।
47,‘नाग पहाड़ से निकली लूणी का बहाव बहुत तेज़ है’ वाक्य में किस प्रकार की संज्ञाओं का प्रयोग हुआ है?,"व्यक्तिवाचक, भाववाचक","जातिवाचक, व्यक्तिवाचक","जातिवाचक, द्रव्यवाचक","भाववाचक, जातिवाचक",1,‘नाग पहाड़’ और ‘लूणी’ व्यक्तिवाचक हैं तथा ‘बहाव’ ‘बहना’ क्रिया से बनी भाववाचक संज्ञा है।
48,"पानीपत का युद्ध, सिपाही-विद्रोह, अक्टूबर-क्रांति किस संज्ञा के उदाहरण हैं?",जातिवाचक,भाववाचक,व्यक्तिवाचक,समुदायवाचक,3,ऐतिहासिक युद्धों और घटनाओं के नाम व्यक्तिवाचक संज्ञा के उदाहरण हैं; स्रोत में इन तीनों को ऐसा माना गया है।
49,‘परीक्षा समाप्त होते ही वह कुंभकरण बन बैठा।’ इस वाक्य में ‘कुम्भकरण’ में कौन-सी संज्ञा प्रयुक्त हुई है?,व्यक्तिवाचक,जातिवाचक,अव्यय,भाववाचक,2,"‘कुंभकरण’ यहाँ अतिनिद्रा लेने वाले लोगों का प्रतीक है, इसलिए एक व्यक्ति के नाम के बजाय जातिवाचक अर्थ में है।"
50,किस विकल्प के सभी शब्द व्यक्तिवाचक संज्ञा के हैं?,"बकरी, होली, चाचा","जनवरी, चाँदनी चौक, प्रदीप","हाथ, गोदान, चुनौती","समुद्र, मनौती, गुलाब",2,"जनवरी, चाँदनी चौक और प्रदीप विशिष्ट नाम हैं; स्रोत में तीनों को व्यक्तिवाचक संज्ञा माना गया है।"
51,किस विकल्प के सभी संज्ञा शब्द विशेषण शब्दों से निर्मित हैं?,"अनिवार्य, उपयुक्त","आधिक्य, चारु","उपयोगिता, उपयुक्तता","नास्तिक, नवलता",3,उपयोगी से उपयोगिता और उपयुक्त से उपयुक्तता—दोनों विशेषणों से बनी भाववाचक संज्ञाएँ हैं।
52,किस विकल्प के सभी शब्द विशेषण से बनी भाववाचक संज्ञा हैं?,"कंजूसी, अजनबीपन","लावण्य, आदमीयत","दौर्बल्य, ठगी","दौड़, पड़ाव",1,कंजूस से कंजूसी और अजनबी से अजनबीपन—दोनों विशेषण से बनी भाववाचक संज्ञाएँ हैं।
53,संज्ञा के संदर्भ में असंगत है-,‘भारतीय सेना बहुत शक्तिशाली है।’ में ‘सेना’ समुदायवाचक संज्ञा है।,"कोयला, पीतल, मिट्टी द्रव्यवाचक संज्ञा के उदाहरण हैं।",‘तालाब में कमल का फूल खिला है’ में ‘कमल’ व्यक्तिवाचक संज्ञा है।,"‘भूल, हँसी, थकान, मिलाव’ शब्द जातिवाचक से बनी भाववाचक संज्ञाएँ हैं।",4,"भूल, हँसी, थकान और मिलाव क्रियाओं से बनी भाववाचक संज्ञाएँ हैं; इन्हें जातिवाचक से बना बताना असंगत है।"
54,किस विकल्प में केवल द्रव्यवाचक संज्ञा के उदाहरण हैं?,"कृषक, जल, अश्रु","शहर, सैलाब, बौछार","घी, तेल, दूध","रक्त, लस्सी, प्रवाह",3,"घी, तेल और दूध तीनों पदार्थों के नाम हैं; स्रोत में इन्हें द्रव्यवाचक संज्ञा माना गया है।"
55,भाववाचक संज्ञा से संबंधित पूर्णतः सत्य कथन किस विकल्प में नहीं है?,"भाववाचक संज्ञाएँ सर्वनाम, अव्यय आदि पदों से भी बनाई जा सकती हैं।","जन्म, मृत्यु, ईर्ष्या, क्रोध इत्यादि अयौगिक भाववाचक संज्ञाएँ हैं।","भाववाचक संज्ञाएँ वस्तुतः मूर्त, ऐन्द्रिक एवं स्पर्शजन्य मानसिक धर्म हैं।","वैधव्य, वैधुर्य, वैसनस्य इत्यादि यौगिक भाववाचक संज्ञाएँ हैं।",3,"भाववाचक संज्ञाएँ अमूर्त होती हैं; उन्हें देखा या स्पर्श नहीं किया जा सकता। इसलिए ‘मूर्त, ऐन्द्रिक एवं स्पर्शजन्य’ वाला कथन गलत है।"
56,संज्ञा के बारे में असत्य कथनों का चयन कीजिए।,केवल 1 व 2 असत्य हैं।,केवल 3 व 4 सत्य हैं।,"केवल 2, 3, 4 सत्य हैं।","सभी 1, 2, 3 व 4 सत्य हैं।",1,स्रोत का उत्तर (1) है: संज्ञा की व्याप्ति विशेषण से मर्यादित होती है और संज्ञा के बारे में विधान करने वाला पद क्रिया है; इसलिए कथन 1 व 2 असत्य हैं।
57,किस विकल्प में केवल व्यक्तिवाचक संज्ञा के उदाहरण हैं?,"श्याम, कोयल, गाय","जापान, पृथ्वी, अटलांटिक","दैनिक भास्कर, सूर्य, इंसान","सिंधु, वकील, महर्षि",2,"जापान देश, पृथ्वी ग्रह और अटलांटिक महासागर के विशिष्ट नाम हैं; तीनों व्यक्तिवाचक संज्ञाएँ हैं।"
58,‘झूठा आदमी विश्वास के योग्य नहीं होता’ वाक्य में ‘विश्वास’ शब्द है-,गुणवाचक विशेषण,व्यक्तिवाचक संज्ञा,भाववाचक संज्ञा,जातिवाचक संज्ञा,3,"‘विश्वास’ एक अमूर्त भाव का बोध कराता है, इसलिए भाववाचक संज्ञा है। ‘आदमी’ जातिवाचक संज्ञा है।"
59,किस विकल्प में सभी भाववाचक संज्ञाएँ विशेषण से निर्मित हैं?,"खारापन, मादकता, निर्वासन","लड़ाकू, सुनिश्चितता, अभिलाषा","आतिरेक्य, सुझाव, अन्वीक्षा","प्राबल्य, हिंसा, चालाकी",4,"प्राबल्य, हिंसा और चालाकी को स्रोत में विशेषणों से निर्मित भाववाचक संज्ञाएँ माना गया है।"
60,किस विकल्प में सभी जातिवाचक संज्ञाएँ व्यक्तिवाचक संज्ञाओं से निर्मित हैं?,"पंखा, पाशुपत, आदित्य","संसद, रमेश, हथेली","लाघव, गौरव, शैशव","राघव, मानव, दनुज",4,"राघव रघु से, मानव मनु से और दनुज दनु से बने जातिवाचक शब्द हैं; स्रोत में यही विकल्प सही दिया है।"
61,निम्नलिखित में से किस विकल्प के सभी शब्द जातिवाचक संज्ञा से निर्मित भाववाचक संज्ञा हैं?,"बोली, प्रीति, फिरौती","भक्ति, स्त्रीत्व, जामातृत्व","युवक, समझौता, धमकी","कसौटी, जन्म, सत्य",2,"भक्त से भक्ति, स्त्री से स्त्रीत्व और जामाता से जामातृत्व—तीनों जातिवाचक संज्ञाओं से बनी भाववाचक संज्ञाएँ हैं।"
62,किस समूह में सभी शब्द जातिवाचक संज्ञाएँ हैं?,"वक्ता, मर्द, तरुण","गरीब, बुद्धिमान्, नास्तिक","क्षमा, धीमान्, सभ्य","ऋजु, चतुर, बच्चा",1,"वक्ता, मर्द और तरुण जातिवाचक संज्ञाएँ हैं; अन्य विकल्पों में विशेषण या भाववाचक शब्द भी हैं।"
63,जातिवाचक संज्ञा से निर्मित भाववाचक संज्ञा है-,राज्य,सजावट,धैर्य,चलन,1,‘राजा’ जातिवाचक संज्ञा में ‘य’ प्रत्यय लगकर ‘राज्य’ बनता है; अन्य शब्द क्रिया/विशेषण से बने हैं।
64,‘डॉ. वर्मा अदम्य साहस की धनी थीं।’ वाक्य में रेखांकित ‘साहस’ किस व्याकरणिक कोटि का है?,जातिवाचक संज्ञा,गुणवाचक विशेषण,भाववाचक संज्ञा,व्यक्तिवाचक संज्ञा,3,‘साहस’ अमूर्त गुण का बोध कराता है; स्रोत में इसे भाववाचक संज्ञा माना गया है।
65,निम्नलिखित में से संज्ञा-विशेषण शब्द का असंगत रूप है-,मास—मासिक,लोक—लौकिक,नगर—नागरिक,पुस्तक—पुस्तकालय,4,‘पुस्तकालय’ स्वयं जातिवाचक संज्ञा है; स्रोत के अनुसार पुस्तक से विशेषण रूप ‘पुस्तकीय’ बनता है।
66,निम्नलिखित में से जातिवाचक संज्ञा से निर्मित भाववाचक संज्ञा है-,दासत्व,नश्वरता,हिंसक,भभकी,1,‘दास’ जातिवाचक संज्ञा से ‘दासत्व’ भाववाचक संज्ञा बनी है। नश्वरता और हिंसा विशेषण से तथा भभकी क्रिया से बनी है।
67,किस विकल्प में विशेषण से बनी भाववाचक संज्ञा है?,"नवीनता, गंदापन","घुर्राहट, सरसराहट","ज़ल्दबाज़ी, जमाव","पिसाई, हड़बड़ाहट",1,नवीन से नवीनता और गंदा से गंदापन—दोनों विशेषण से बनी भाववाचक संज्ञाएँ हैं।
68,किस विकल्प में सभी अव्यय से बनी भाववाचक संज्ञाएँ हैं?,"देरी, मनाही","धुलाई, लज्जा","खेल, प्रताप","प्रपंच, निद्रा",1,देर से देरी और मना से मनाही—स्रोत में दोनों को अव्यय से बनी भाववाचक संज्ञाएँ बताया गया है।
69,किस समूह में सभी शब्द जातिवाचक संज्ञाएँ हैं?,"विभु, भक्त, प्रभु","शीघ्रता, युवक, भव्यता","माता, चालचलन, परिहास","राष्ट्रीयता, शिशुता, माहात्म्य",1,"विभु, भक्त और प्रभु तीनों जातिवाचक संज्ञाओं के उदाहरण हैं; अन्य विकल्पों में भाववाचक संज्ञाएँ भी हैं।"
