No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
11,सर्वनाम के संबंध में असंगत है-,पुरुषवाचक सर्वनाम के 'आप' शब्द का संबंध कारकीय रूप आपका/की/के होता है; जबकि निजवाचक सर्वनाम के 'आप' शब्द का संबंध कारकीय रूप अपना/नी/ने होता है।,निश्चयवाचक सर्वनाम 'कोई' का प्रयोग सजीव संज्ञा के लिए एवं 'कुछ' का प्रयोग निर्जीव के लिए होता है।,'हम' के साथ कभी भी हमारा/री/रे का प्रयोग नहीं होता।,'आप' निजवाचक सर्वनाम से कभी भी सार्वनामिक विशेषण नहीं बनता है।,2,'कोई' और 'कुछ' दोनों अनिश्चयवाचक सर्वनाम हैं। 'कोई' का प्रयोग पुरुष (सजीव) के लिए तथा 'कुछ' का प्रयोग सूक्ष्म पदार्थ अथवा निर्जीव वस्तु के लिए किया जाता है।
12,सर्वनाम संबंधी असत्य कथन का चयन कीजिए-,"'मैं' शब्द के साथ स्वयं के लिए मेरा, मेरी, मेरे का प्रयोग नहीं करते।",प्रशासनिक अधिकारी मैं के स्थान पर 'हम' का प्रयोग करते हैं।,सर्वनाम पदों का पद परिचय वचन एवं कारक के आधार पर ही दिया जाता है।,प्रधान उपवाक्यों का संबंध जोड़ने का कार्य निजवाचक सर्वनाम करते हैं।,4,प्रधान उपवाक्य में आए संज्ञा या सर्वनाम से आश्रित उपवाक्यों का संबंध जोड़ने का कार्य संबंधवाचक सर्वनाम करते हैं।
13,"'तुम, वह और मैं चलेंगे।' वाक्य में कर्ता के स्थान पर प्रयुक्त पुरुषों का सही क्रम निर्धारण कीजिए-","अन्यपुरुष, मध्यमपुरुष, उत्तमपुरुष","उत्तमपुरुष, मध्यमपुरुष, अन्यपुरुष","मध्यमपुरुष, उत्तमपुरुष, अन्यपुरुष","मध्यमपुरुष, अन्यपुरुष, उत्तमपुरुष",4,"तुम - मध्यमपुरुष, वह - अन्यपुरुष, मैं - उत्तमपुरुष।"
14,असंगत कथन का चयन कीजिए-,सर्वनाम शब्दों का संबोधन कारक नहीं होता है।,"पुरुषवाचक सर्वनाम में व्याकरणिक प्रक्रिया अनुसार पुरुषों का सही क्रम अन्यपुरुष, मध्यमपुरुष एवं उत्तमपुरुष होता है।",'कुछ' सर्वनाम सभी वचनों एवं सातों कारकों में एक-सा प्रयुक्त होता है।,'आप' सर्वनाम का प्रयोग उत्तमपुरुष वाचक सर्वनाम के रूप में किया जा सकता है।,4,'आप' सर्वनाम का प्रयोग उत्तमपुरुष वाचक सर्वनाम के रूप में नहीं किया जा सकता है। 'आप' का प्रयोग मध्यम पुरुष में किया जाता है।
15,असंगत विकल्प का चयन कीजिए-,"मैं, हम, उत्तमपुरुष के सर्वनाम हैं।",सर्वनाम भेदों के अनुसार वक्ता प्रथम पुरुष में आता है।,जिससे बात की जाती है वह मध्यमपुरुष होता है।,जिसके (मूर्त-अमूर्त) के बारे में बात की जाती है वह अन्यपुरुष होता है।,2,सर्वनाम भेदों के अनुसार वक्ता उत्तम पुरुष में आता है।
16,बालक अपना खाना आप ही बना लेता है। वाक्य में प्रयुक्त सर्वनाम है-,अनिश्चयवाचक,निजवाचक,प्रश्नवाचक,निश्चयवाचक,2,"जो सर्वनाम शब्द निज के लिए (स्वयं के लिए) प्रयुक्त होते हैं, उन्हें निजवाचक सर्वनाम कहा जाता है। यहाँ 'आप' का प्रयोग स्वयं के अर्थ में हो रहा है।"
17,सर्वनाम के संबंध में कौन-सा कथन सही नहीं है-,संज्ञा के प्रतिनिधि चिह्न ही सर्वनाम हैं।,वाक्य में प्रयोग के आधार पर सर्वनाम के छह भेद होते हैं।,सर्वनाम के विकारक लिंग तथा काल हैं।,निजवाचक सर्वनाम 'आप' का प्रयोग वाक्य में कर्ता के स्थान पर नहीं हो सकता।,3,सर्वनाम के विकारक - वचन और कारक होते हैं। निजवाचक सर्वनाम 'आप' का प्रयोग वाक्य में कर्ता के स्थान पर नहीं हो सकता।
18,सर्वनाम से संबंधित त्रुटिपूर्ण कथन है-,'वे निज आवास में रहते हैं।' इस वाक्य में 'निज' निजवाचक सर्वनाम है।,आदरसूचक 'आप' अन्यपुरुषवाचक 'आप' से भिन्न है।,'वह' सर्वनाम का प्रयोग अन्यपुरुषवाचक सर्वनाम के अलावा संकेतवाचक विशेषण में भी होता है।,संज्ञा की तरह सर्वनाम में भी कारक विभक्ति सदैव स्वतंत्र होती है।,4,"संज्ञा की तरह सर्वनाम में सदैव कारक विभक्ति स्वतंत्र नहीं होती, अपितु प्रथम कारक विभक्ति सर्वनाम शब्द में संश्लिष्ट हो जाती है; जैसे - उसने, उसको, उसमें इत्यादि।"
19,सर्वनाम के संबंध में असंगत विकल्प है-,सर्वनाम पदों से पूर्वापर संबंध से किसी भी पदार्थ का बोध हो सकता है।,हिंदी भाषा में कर्तृपद के रूप में सर्वनाम का प्रयोग नहीं किया जा सकता है।,'तू' शब्द का प्रयोग निरादर एवं हल्कापन दर्शाता है।,'आप' सर्वनाम का प्रयोग उत्तमपुरुष में अस्वीकार्य है।,2,"हिंदी भाषा में कर्ता के स्थान पर संज्ञा/सर्वनाम का प्रयोग किया जा सकता है। 'आप' सर्वनाम का प्रयोग उत्तम पुरुष में न होकर, मध्यम व अन्य पुरुष में होता है।"
20,निम्नलिखित में से किस विकल्प में 'कौन' सर्वनाम का 'करण कारक' प्रयुक्त हुआ है-,किसने,किससे,किन्हें,किसे,2,"'कौन' प्रश्नवाचक सर्वनाम है। 'किससे, किसके द्वारा' करण कारक के रूप हैं।"
21,किस विकल्प के सभी शब्द 'अनिश्चयवाचक' सर्वनाम के उदाहरण हैं-,"यह, इसने, कोई","कोई, किसी ने, उसे","कोई, किसी, किन्हीं, कुछ","किस, कितना, कितनी",3,"कोई, किसी, किन्हीं, कुछ अनिश्चयवाचक सर्वनाम के उदाहरण हैं।"
22,किस वाक्य में 'मध्यम पुरुष' सर्वनाम का प्रयोग नहीं हुआ है-,आप सो जाइए।,आप शांत हो जाइए।,तेरी महिमा अपरंपार है।,उसके माता-पिता अत्यंत निर्धन हैं।,4,'उसके माता-पिता अत्यंत निर्धन हैं' में अन्य पुरुष का प्रयोग है।
23,निम्नलिखित में से किस विकल्प में सभी सर्वनाम पुरुषवाची हैं-,"हम, तुम, ये, वे, मैं","मैं, तुम, आप, किसी","जो, कोई, वह, स्वयं","मैं, वह, सो, क्या",1,"मैं, हम उत्तम पुरुष; तुम मध्यम पुरुष; ये, वे अन्य पुरुष बहुवचन हैं। 'किसी' अनिश्चयवाचक, 'जो-सो' संबंधवाचक और 'क्या' प्रश्नवाचक हैं।"
24,'यह पुस्तक मेरी है और वह तुम्हारी' - वाक्य में 'यह' और 'वह' कौन-सी व्याकरणगत इकाइयाँ हैं-,'यह' और 'वह' दोनों ही सर्वनाम हैं।,'यह' सार्वनामिक विशेषण है और 'वह' निश्चयवाचक सर्वनाम है।,'यह' गुणवाचक विशेषण है और 'वह' संबंधवाचक सर्वनाम है।,'यह' और 'वह' दोनों ही संकेतवाचक विशेषण हैं।,2,"विकल्प (ब) सही है; 'यह' शब्द 'पुस्तक' की ओर संकेत के माध्यम से विशेषता प्रकट कर रहा है, अतः 'यह' सार्वनामिक या संकेतवाचक विशेषण है। दूसरे उपवाक्य में 'वह' और 'तुम्हारी' दोनों ही सर्वनाम हैं।"
25,किस विकल्प में 'कुछ' का प्रयोग अनिश्चयवाचक सर्वनाम के रूप में हुआ है-,लड़का कुछ अशक्त है।,मेरा हाल कुछ न पूछो।,दोनों की आकृति कुछ-कुछ मिलती है।,घी में कुछ मिला है।,4,'घी में कुछ मिला है' में 'कुछ' किसी अनिश्चित वस्तु का स्थान ले रहा है।
26,किस वाक्य में अनिश्चयवाचक सर्वनाम है-,तुम किसी से कुछ नहीं कह सकते।,बच्चे खुद ही इधर आ गए।,तुम कॉलेज कब जाओगे?,वे हमारे विद्यालय के छात्र हैं।,1,"'तुम किसी से कुछ नहीं कह सकते' - अनिश्चयवाचक सर्वनाम; 'खुद' निजवाचक, 'तुम' पुरुषवाचक और 'वे' निश्चयवाचक हैं।"
27,सर्वनाम के संदर्भ में असंगत है -,'किन-किन' का नाम सूची में है - रेखांकित 'किन-किन' प्रश्नवाचक सर्वनाम है।,"क्रोध, बराबरी का भाव दिखाने के लिए 'तू' सर्वनाम का प्रयोग होता है।","जिस सर्वनाम से वक्ता के पास अथवा दूर की किसी वस्तु का बोध हो, वह निश्चयवाचक सर्वनाम होता है।","'इस पुस्तक को देखो, यह कितनी उपयोगी है।' इस वाक्य में 'कितनी' प्रश्नवाचक सर्वनाम प्रयुक्त हुआ है।",4,"'इस पुस्तक को देखो, यह कितनी उपयोगी है' में 'इस पुस्तक' सार्वनामिक विशेषण है; 'कितनी' प्रश्नवाचक सर्वनाम नहीं है।"
28,'तू' सर्वनाम का प्रयोग किस क्रम में नहीं होता -,आत्मीयता,निरादर,निकटता,संबंध बताने,4,"'तू' शब्द का प्रयोग आत्मीयता, स्नेह, ममता, निरादर, अपमान, निकटता, समीपता, तिरस्कार आदि के अर्थ में होता है; संबंध बताने में नहीं।"
29,सर्वनाम के संदर्भ में असंगत है-,'मुझे वहाँ जाना है।' रेखांकित पद 'मुझे' सर्वनाम के रूप में प्रयुक्त हुआ है।,'वहाँ कोई पढ़ रही थी' इस वाक्य में अनिश्चयवाचक सर्वनाम है।,'इसी ने मेरी ज़िंदगी बचाई थी' वाक्य में 'इसी' निश्चयवाचक सर्वनाम है।,'बच्चे कुछ मुस्कुराए' वाक्य में 'कुछ' अनिश्चयवाचक सर्वनाम है।,4,'बच्चे कुछ मुस्कुराए' में 'कुछ' क्रियाविशेषण है।
30,'मुझे ऐसा लगा जैसे झाड़ियों में कोई खड़ा है।' रेखांकित 'कोई' शब्द सर्वनाम का प्रकार है-,निश्चयवाचक सर्वनाम,अनिश्चयवाचक सर्वनाम,संबंधवाचक सर्वनाम,प्रश्नवाचक सर्वनाम,2,"किसी ज्ञात पुरुष अथवा जंतु के लिए भी 'कोई' का प्रयोग होता है, पर निश्चय नहीं होता कि कौन खड़ा है।"
31,किस विकल्प में 'कुछ' का प्रयोग अनिश्चयवाचक सर्वनाम के रूप में हुआ है-,कुछ आटा और ले लीजिए।,मरीज का हाल कुछ न पूछो।,दादी कुछ ऊँचा सुनती हैं।,कुछ मेरे मन में है।,4,"'कुछ मेरे मन में है' - अनिश्चयवाचक सर्वनाम। 'कुछ आटा' अनिश्चित परिमाणवाचक विशेषण, 'कुछ न पूछो' क्रियाविशेषण और 'कुछ ऊँचा' क्रियाविशेषण है।"
32,निजवाचक सर्वनाम 'आप' का उदाहरण नहीं है-,गुरु आप मुझसे मिले थे।,मैं आप से फिर निवेदन करूँगी।,मैं आप वहाँ गया था।,आप भला तो जग भला।,2,'मैं आप से फिर निवेदन करूँगी' में 'आप' आदरपूर्वक संबोधक है। यह पुरुषवाचक सर्वनाम है।
33,"'वह विद्यार्थी जो कल आया था, पढ़ने में तेज़ है।' वाक्य में रेखांकित 'जो' पद में किस सर्वनाम का प्रयोग हुआ है-",निजवाचक सर्वनाम,पुरुषवाचक सर्वनाम,निश्चयवाचक सर्वनाम,संबंधवाचक सर्वनाम,4,'जो' पहले आए हुए संज्ञा 'विद्यार्थी' से संबंध स्थापित कर रहा है; इसलिए यह संबंधवाचक सर्वनाम है।
34,किस विकल्प में निश्चयवाचक सर्वनाम का प्रयोग नहीं हुआ है-,यह नया नियम नहीं है।,बड़ा पद मिलने से कोई बड़ा नहीं होता।,वे पराक्रमी बालक हैं।,ये सब बातें हरिश्चन्द्र में सहज हैं।,2,"'कोई' अनिश्चयवाचक सर्वनाम है; अन्य विकल्पों में 'यह', 'वे', 'ये' निश्चयवाचक सर्वनाम हैं।"
35,'वह कौन है जो पड़ा रो रहा है?' वाक्य में रेखांकित 'जो' शब्द है-,संबंधवाचक सर्वनाम,निजवाचक सर्वनाम,निश्चयवाचक सर्वनाम,अनिश्चयवाचक सर्वनाम,1,'जो' संबंधवाचक सर्वनाम है। संबंधवाचक सर्वनाम मिश्र वाक्य के आश्रित उपवाक्य में आता है।
36,किस विकल्प में मध्यम पुरुष का प्रयोग हुआ है-,हम पहले भाग के आरम्भ में लिख आए हैं।,जो बातें ऋषि के पीछे हुईं सो उनसे कह दीं।,"हे मंत्री, तुम सेनापति को बुलाओ।","चन्द्रगुप्त- मुझे क्या दोष है, यह तो हमारा कुल धर्म है।",3,"'हे मंत्री, तुम सेनापति को बुलाओ' - मध्यम पुरुष। 'हम' और 'मुझे/हमारा' उत्तम पुरुष तथा 'उनसे' अन्य पुरुषवाचक है।"
37,"जिस सर्वनाम से वक्ता के पास अथवा दूर की किसी वस्तु का बोध होता हो, को क्या कहते हैं-",अनिश्चयवाचक सर्वनाम,निश्चयवाचक सर्वनाम,निजवाचक सर्वनाम,संबंधवाचक सर्वनाम,2,निकट या दूर के व्यक्तियों या वस्तुओं का निश्चयात्मक बोध होता है; उन्हें निश्चयवाचक सर्वनाम कहते हैं।
38,"'मुकेश स्वावलंबी छात्र है, उसे जितना काम करना होता है उतना वह स्वयं कर लेता है।' इस वाक्य में कौन-कौन से सर्वनाम हैं-","उत्तमपुरुषवाचक, निश्चयवाचक, प्रश्नवाचक","मध्यमपुरुषवाचक, प्रश्नवाचक, संबंधवाचक","अन्यपुरुषवाचक, अनिश्चयवाचक, निश्चयवाचक","अन्यपुरुषवाचक, संबंधवाचक, निजवाचक",4,"'उसे' और 'वह' अन्यपुरुषवाचक; 'जितना, उतना' संबंधवाचक; 'स्वयं' निजवाचक सर्वनाम है।"
39,निम्नलिखित में से कौन-सा वाक्य निजवाचक सर्वनाम का उदाहरण नहीं है-,मैं अपनी पुस्तक ले जा रहा हूँ।,"आप किसी को भेजिए नहीं, मैं आप आ जाऊँगा।",आप कृपया यहाँ बैठिए।,मैं अपने देश के लिए सर्वस्व न्योछावर करने को तैयार हूँ।,3,'आप कृपया यहाँ बैठिए' में 'आप' मध्यमपुरुष है।
40,किस विकल्प में सर्वनाम का भेद व उदाहरण सुमेलित हैं-,"निश्चयवाचक - यह, वह, ये, वे","पुरुषवाचक - कोई, किसे, उन्हें, उसे","संबंधवाचक - जैसे-वैसे, जो-सो, तुम, आप","प्रश्नवाचक - कौन, किसे, कोई",1,"निश्चयवाचक सर्वनाम के अंतर्गत यह, वह, ये, वे आते हैं। कोई अनिश्चयवाचक, किसे/कौन प्रश्नवाचक तथा उन्हें/उसे/आप अन्यपुरुष सर्वनाम हैं।"
41,"'तुम जिसे चाहो, उसे बुला सकते हो।' इस वाक्य में इनमें से कौन-कौन से सर्वनाम प्रयुक्त हुए हैं-","अनिश्चयवाचक, अन्यपुरुष","मध्यमपुरुष, निश्चयवाचक","निजवाचक, मध्यमपुरुष","मध्यमपुरुष, संबंधवाचक",4,'उसे' व 'जिसे' में संबंधवाचक सर्वनाम है और 'तुम' मध्यमपुरुषवाचक सर्वनाम है।
42,निम्नलिखित में से किस वाक्य में 'संबंधवाचक' सर्वनाम का प्रयोग नहीं हुआ है-,"जैसी करनी, वैसी भरनी।","जितना गुड़ डालोगे, उतना मीठा होगा।",तुम अपनी पुस्तक पढ़ो।,"आप जो न करो, सो थोड़ा है।",3,विकल्प (3) में 'तुम' व 'अपनी' मध्यम पुरुषवाचक सर्वनाम हैं; अतः इसमें संबंधवाचक सर्वनाम नहीं है।
43,"'आप नहीं जानते, सुरेश अपने-आप सारे काम कर लेता है।' इस वाक्य में कौन-कौन-से सर्वनामों का प्रयोग हुआ है-","अन्य पुरुष, अनिश्चयवाची","निजवाचक, अन्यपुरुष","संबंधवाचक, निजवाचक","मध्यमपुरुष, निजवाचक",4,उपर्युक्त वाक्य में 'आप' मध्यमपुरुष सर्वनाम तथा 'अपने-आप' निजवाचक सर्वनाम है।
44,"सही कूट का चयन कीजिए- (क) अपने से बड़ों का आदर करना उचित है। (ख) ऐसे समय में आप साथ न दोगे तो और कौन देगा? (ग) जिसे भी देखता हूँ, वही व्यस्त है। (घ) विश्वास नहीं हो तो यह तुम लिख लो।
सर्वनाम: (1) मध्यमपुरुष (2) निश्चयवाचक (3) निजवाचक (4) संबंधवाचक","(क)-(4), (ख)-(1), (ग)-(3), (घ)-(2)","(क)-(2), (ख)-(1), (ग)-(3), (घ)-(4)","(क)-(3), (ख)-(1), (ग)-(4), (घ)-(2)","(क)-(3), (ख)-(2), (ग)-(4), (घ)-(1)",3,"अपने से बड़ों का आदर करना उचित है - निजवाचक; ऐसे समय में आप साथ न दोगे तो और कौन देगा - मध्यमपुरुष; जिसे भी देखता हूँ, वही व्यस्त है - संबंधवाचक; विश्वास नहीं हो तो यह तुम लिख लो - निश्चयवाचक।"
45,"सही कूट का चयन कीजिए- (क) आपको यही उचित लगता है, तो ठीक है। (ख) सामने जो बड़ा-सा मकान दिखाई दे रहा है, वह मेरा है। (ग) वह स्वतः समझ जाएगा। (घ) वह आवश्यक कार्य से अजमेर गया है।
सर्वनाम: (1) निजवाचक (2) पुरुषवाचक (3) मध्यमपुरुष (4) निश्चयवाचक","(क)-(4), (ख)-(1), (ग)-(3), (घ)-(2)","(क)-(2), (ख)-(1), (ग)-(3), (घ)-(4)","(क)-(3), (ख)-(1), (ग)-(4), (घ)-(2)","(क)-(3), (ख)-(4), (ग)-(1), (घ)-(2)",4,"आपको यही उचित लगता है, तो ठीक है - मध्यमपुरुष; सामने जो बड़ा-सा मकान दिखाई दे रहा है, वह मेरा है - निश्चयवाचक; वह स्वतः समझ जाएगा - निजवाचक; वह आवश्यक कार्य से अजमेर गया है - पुरुषवाचक।"
46,किस वाक्य में निजवाचक सर्वनाम का प्रयोग नहीं हुआ है-,आपस की फूट बुरी होती है।,हम अपने-आपको भूल गए।,मैं आप लोगों का बहुत आभारी हूँ।,खुदोखुद ही कोई काम नहीं बनता है।,3,'आप' + संज्ञा = संकेतवाचक विशेषण। 'मैं आप लोगों का बहुत आभारी हूँ' में निजवाचक सर्वनाम का प्रयोग नहीं हुआ है। 'खुदोखुद' निजवाचक सर्वनाम है।
47,किस वाक्य में पुरुषवाचक सर्वनाम नहीं है-,"आपको यही उचित लगता है, तो ठीक है।",आप कहाँ जा रहे हैं?,आप एक शिक्षक हैं।,वह एक असाधारण वैयाकरण थे।,3,'आप एक शिक्षक हैं' में 'आप' निश्चयवाचक सर्वनाम है। अन्य विकल्पों में मध्यम या अन्य पुरुष है।
48,किस विकल्प में 'मध्यम पुरुष' का प्रयोग हुआ है-,उनसे कहा था कि,अन्य लोगों के साथ-साथ,आपको भी सूचित कर दें,यह जा रहा है।,3,'यह जा रहा है' - अन्य पुरुष। अतः मध्यम पुरुष विकल्प (3) है।
49,किस विकल्प में 'अन्य पुरुष' का प्रयोग हुआ है-,आप खेल रहे हैं।,उसमें सहन-शक्ति है।,आप यहाँ बैठिए।,वे निज आवास में रहते हैं।,4,'आप खेल रहे हैं' और 'आप यहाँ बैठिए' मध्यम पुरुष हैं; 'वे' अन्य पुरुषवाचक है।
50,किस वाक्य में संबंधवाचक सर्वनाम का प्रयोग नहीं हुआ है-,जो जागता है वह पाता है।,जिसकी लाठी उसकी भैंस।,"मेरे जितने विद्यार्थी हैं, सभी सदाचारी हैं।",जैसे चढ़े थे वैसे ही उतर जाओ।,3,विकल्प (3) में संबंधवाचक सार्वनामिक विशेषण है।
51,किस विकल्प में अनिश्चयवाचक सर्वनाम का प्रयोग हुआ है-,उसे कुछ फल दे दो।,कोई कुछ बोलता है।,मैं कुछ नहीं कह सकता हूँ।,कुछ लोग आ रहे हैं।,2,"'कोई कुछ बोलता है' - अनिश्चयवाचक सर्वनाम। 'कुछ फल' सार्वनामिक विशेषण, 'कुछ नहीं' क्रियाविशेषण और 'कुछ लोग' सार्वनामिक विशेषण है।"
52,किस वाक्य में निश्चयवाचक सर्वनाम नहीं है-,यह मेरी पुस्तक है।,वे हमारे छात्र हैं।,वह हमारा खेत है।,यह गाय मेरी है।,4,'यह गाय मेरी है' में 'यह' सार्वनामिक विशेषण है; अन्य विकल्पों में निश्चयवाचक सर्वनाम हैं।
53,किस वाक्य में निजवाचक सर्वनाम का प्रयोग नहीं हुआ है-,लड़के आप ही चले जाएँगे।,गरिमा आप ही लिखेगी।,अध्यापिका आप मुझसे मिली थीं।,आप पढ़ रहे हैं।,4,'आप पढ़ रहे हैं' - मध्यम पुरुषवाचक सर्वनाम।
54,किस वाक्य में पुरुषवाचक सर्वनाम नहीं है-,यह बालक जा रहा है।,वह पढ़ रहा है।,मैं आज उससे मिलकर आया हूँ।,आप कहेंगे तो ही बैठूँगा।,1,'यह बालक जा रहा है' में 'यह' सार्वनामिक विशेषण है।
55,किस विकल्प में अनिश्चयवाचक सर्वनाम नहीं है-,पेड़ पर कोई बोल रहा है।,कुछ बालक अच्छा नाचते हैं।,उसके सिवाय इस बात को कोई दूसरा नहीं जानता है।,रास्ते में कुछ खा लेना चाहिए।,2,'कुछ बालक अच्छा नाचते हैं' में 'कुछ' अनिश्चित संख्यावाचक विशेषण है।
56,किस वाक्य में संबंधवाचक सर्वनाम का प्रयोग नहीं हुआ है-,जो व्यक्ति जा रहा है वह मेरा भाई है।,"यह वही फिल्म है, जिसे तुम देखना चाहते हो।",आपको जो कुछ चाहिए वह हमसे माँग लो।,"जो सत्य बोलता है, कभी नहीं डरता।",1,'जो व्यक्ति जा रहा है वह मेरा भाई है' में 'जो' संबंधवाचक सार्वनामिक विशेषण है। जो/सो जब अपनी संज्ञाओं के साथ प्रयुक्त होते हैं तो संबंधवाचक सार्वनामिक विशेषण कहलाते हैं।
57,निम्नलिखित में से किस वाक्य में अन्य पुरुषवाचक सर्वनाम का प्रयोग नहीं हुआ है-,ये हमारे परंपरागत नियम हैं।,वह एक असाधारण वैयाकरण थे।,उनसे मेरी मित्रता है।,हमसे कोई बात छुपी नहीं है।,4,'हमसे कोई बात छुपी नहीं है' - उत्तम पुरुषवाचक सर्वनाम।
58,निम्नलिखित में से किस वाक्य में 'संबंधवाचक' सर्वनाम का प्रयोग नहीं हुआ है-,जो सोता है सो खोता है।,तुम अपनी पुस्तक पढ़ो।,"जो अपना ज्ञान बेचते हैं, वे ठग और स्वार्थी हैं।",उस भ्रम से बचकर रहो जो आपको भ्रमित करे।,2,'तुम अपनी पुस्तक पढ़ो' - मध्यम पुरुषवाचक सर्वनाम।
59,मध्यम पुरुषवाचक सर्वनाम का सही विकल्प है-,उसकी,वह,मेरे,आप,4,"'आप' मध्यम पुरुषवाचक सर्वनाम है। पुरुषवाचक सर्वनाम के तीन भेद हैं - उत्तम पुरुष, मध्यम पुरुष और अन्य पुरुष। मध्यम पुरुषवाचक सर्वनाम के उदाहरण - तू, तुम, आप।"
